Stkcd,Size,BM,OP,INV
826,B,a,c,c
828,B,b,c,a
829,B,c,a,a
830,B,c,b,c
833,A,a,a,a
835,A,a,a,a
836,A,b,b,b
837,A,b,a,a
838,A,b,c,c
839,B,b,a,b
848,B,a,c,b
850,B,b,b,b
852,A,b,c,b
856,A,c,b,b
858,B,a,c,c
859,A,a,a,a
860,B,b,b,c
861,A,b,c,b
863,A,c,c,b
868,B,b,b,b
869,B,a,c,b
875,A,c,a,a
876,B,b,c,b
877,B,c,a,c
878,B,b,a,b
880,A,c,b,a
881,A,c,c,a
882,A,c,a,c
883,A,c,b,a
885,A,b,b,b
886,B,b,b,a
887,B,a,c,c
888,B,a,c,b
889,A,b,c,b
890,A,c,a,a
892,A,a,c,a
893,B,c,c,c
895,B,a,c,c
897,B,c,a,c
898,B,c,a,a
899,B,c,c,a
900,B,c,c,c
901,B,a,b,b
903,A,c,a,c
905,A,b,b,b
906,A,c,a,a
909,A,c,b,b
910,A,c,b,a
911,A,c,a,c
912,A,c,b,c
913,A,c,a,b
915,B,a,c,b
916,A,b,b,b
917,B,b,c,c
918,B,c,b,b
919,A,b,b,b
921,B,c,c,c
922,A,b,c,c
923,A,b,a,b
925,B,b,a,b
926,B,c,b,b
927,B,b,a,a
929,A,b,b,b
930,B,b,a,b
931,A,b,b,a
932,B,c,a,a
933,B,c,b,c
935,A,c,a,a
936,A,b,b,a
937,B,b,c,b
938,B,b,b,c
939,B,b,a,c
948,A,b,a,a
949,A,b,a,a
950,A,b,b,c
951,B,c,a,a
952,A,b,a,b
953,A,b,a,c
955,A,a,a,c
957,A,b,b,c
958,A,c,c,a
959,A,c,a,a
960,B,b,a,c
961,B,c,c,c
962,B,a,a,a
963,B,a,c,b
965,B,b,b,a
966,B,c,b,a
967,A,b,b,a
968,B,b,a,c
969,B,a,a,b
970,B,a,c,b
971,A,a,a,a
973,B,b,b,a
975,B,a,a,c
976,A,a,a,a
977,B,a,a,c
978,A,b,b,a
979,B,c,c,c
980,A,b,a,a
981,A,c,c,b
982,B,a,c,c
983,B,b,c,b
985,A,a,a,b
987,B,b,c,b
988,B,a,b,b
989,B,a,b,a
990,B,b,a,a
993,B,b,b,c
995,A,a,b,b
996,B,a,c,c
998,B,a,c,c
1696,B,b,c,b
1896,A,c,b,a
2001,B,a,c,b
2002,A,a,a,b
2003,A,b,c,b
2004,B,b,c,c
2005,B,c,a,c
2006,B,a,a,a
2007,B,a,c,b
2008,B,a,c,b
2009,A,c,b,b
2010,B,b,b,c
2011,B,b,b,c
2012,A,a,b,a
2013,B,c,b,c
2014,A,a,c,c
2015,A,b,a,c
2016,B,a,c,b
2017,B,a,a,b
2018,B,a,c,a
2019,A,a,a,a
2020,A,b,b,b
2021,A,b,a,b
2022,B,a,c,b
2023,B,a,b,c
2024,B,c,b,c
2025,B,a,b,b
2026,A,a,b,b
2027,A,b,a,a
2028,B,b,b,b
2029,B,a,c,c
2030,B,a,c,b
2031,A,b,b,b
2032,B,b,c,b
2033,A,a,c,c
2034,A,c,b,b
2035,A,b,c,c
2036,A,a,a,a
2037,B,b,c,c
2038,B,a,c,c
2039,A,c,b,a
2040,A,a,b,b
2041,B,a,c,c
2042,B,c,a,b
2043,A,a,b,a
2044,A,a,c,c
2045,A,b,a,a
2046,A,a,b,c
2047,A,a,a,a
2048,B,b,b,c
2049,B,b,b,c
2050,B,a,b,a
2051,B,b,c,c
2052,B,b,b,b
2053,A,c,a,c
2054,A,b,b,b
2055,B,b,b,b
2056,B,a,a,a
2057,A,a,a,c
2058,A,a,a,a
2059,A,a,b,b
2060,A,c,b,c
2061,A,b,b,b
2062,A,c,b,c
2063,B,a,c,c
2064,B,a,a,b
2065,B,a,c,c
2066,A,c,a,c
2067,A,b,a,a
2068,A,b,b,c
2069,B,a,b,b
2070,B,b,a,c
2073,B,b,b,c
2075,A,c,a,a
2076,A,a,b,a
2077,A,c,b,b
2078,B,c,a,a
2079,B,a,a,a
2080,A,c,a,c
2081,B,a,c,c
2082,A,b,b,b
2083,B,c,a,a
2084,A,a,b,b
2085,A,c,c,c
2086,A,b,b,b
2087,A,c,a,b
2088,A,b,b,b
2089,A,b,b,c
2090,A,b,b,b
2091,B,a,c,b
2092,B,c,b,c
2093,B,a,b,b
2094,A,a,c,b
2095,B,a,b,b
2096,B,a,c,c
2097,A,c,a,b
2098,A,b,b,a
2099,A,b,a,c
2100,B,b,b,b
2101,A,b,b,b
2102,A,b,b,b
2103,A,b,b,a
2104,B,a,c,c
2105,A,b,b,a
2106,B,a,b,a
2107,A,b,a,b
2108,B,a,c,c
2109,A,a,b,a
2110,A,c,a,a
2111,A,b,b,b
2112,A,b,a,a
2113,A,a,b,a
2114,A,a,a,a
2115,A,b,b,a
2116,A,b,c,c
2117,B,a,b,b
2118,B,a,b,b
2119,A,b,a,a
2120,A,b,c,a
2121,A,b,b,b
2122,B,b,b,a
2123,B,b,a,c
2124,A,b,a,b
2125,A,b,a,c
2126,A,b,b,b
2127,A,c,a,c
2128,B,a,c,b
2129,B,b,a,c
2130,A,a,b,c
2131,A,b,b,c
2132,A,c,a,b
2133,A,c,c,b
2134,A,a,a,a
2135,A,b,b,b
2136,A,a,b,b
2137,A,a,a,a
2138,B,a,c,c
2139,A,b,b,a
2140,B,a,c,b
2141,A,a,a,a
2142,B,c,c,c
2143,A,c,a,c
2144,A,b,b,b
2145,A,a,a,a
2146,B,b,c,c
2147,A,b,a,a
2148,B,a,b,b
2149,A,b,a,a
2150,A,a,c,b
2151,B,a,a,b
2152,B,a,c,c
2153,B,a,c,b
2154,B,b,c,b
2155,B,a,c,c
2156,B,b,a,a
2157,A,c,b,c
2158,B,a,c,a
2159,A,a,c,b
2160,A,b,a,b
2161,B,a,b,c
2162,A,a,a,a
2163,B,c,a,b
2164,A,b,a,a
2165,A,a,b,b
2166,A,a,a,a
2167,B,a,a,c
2168,B,a,b,a
2169,A,b,a,b
2170,B,b,b,c
2171,A,a,a,b
2172,A,b,a,a
2173,A,b,b,b
2174,A,a,a,c
2176,B,a,b,b
2177,A,b,b,a
2178,A,a,b,b
2179,B,b,c,b
2180,A,a,a,a
2181,A,c,b,c
2182,A,b,a,c
2183,B,c,b,a
2184,A,b,a,b
2185,B,a,b,b
2186,B,a,c,b
2187,A,b,c,b
2188,A,a,a,a
2189,A,a,a,b
2190,B,a,a,b
2191,B,a,c,c
2192,A,b,a,a
2193,A,b,a,a
2194,A,b,a,a
2195,A,a,c,b
2196,A,a,b,a
2197,A,b,b,b
2198,A,a,a,a
2199,A,b,a,b
2200,A,b,a,c
2201,A,b,a,b
2202,B,c,a,a
2203,B,b,b,a
2204,B,c,b,a
2205,A,b,a,a
2206,A,b,b,b
2207,A,a,b,a
2208,A,b,c,b
2209,A,b,b,b
2210,A,c,c,c
2212,A,b,b,b
2213,A,a,b,a
2214,A,a,b,b
2215,A,b,b,a
2216,B,b,b,b
2217,A,b,a,a
2218,B,a,a,b
2219,B,a,c,c
2220,A,b,b,c
2221,B,b,b,c
2222,A,a,b,a
2223,B,a,c,c
2224,A,b,c,b
2225,A,b,b,b
2226,A,b,c,b
2227,A,a,a,b
2228,A,b,b,c
2229,A,b,b,b
2230,B,a,b,c
2231,A,a,b,a
2232,B,a,a,b
2233,A,b,b,a
2234,A,b,a,a
2235,A,b,a,a
2236,B,a,c,c
2237,B,b,b,c
2238,B,a,b,a
2239,A,a,a,b
2241,B,a,c,c
2242,B,a,c,b
2243,A,a,b,c
2244,B,c,c,b
2245,A,b,c,a
2246,A,b,b,c
2247,A,a,b,b
2248,A,c,a,b
2249,B,b,b,b
2250,B,a,c,c
2251,B,b,c,b
2252,B,a,c,c
2253,B,a,b,b
2254,B,a,a,a
2255,B,b,c,b
2256,A,a,a,b
2258,B,a,c,b
2259,B,b,a,a
2260,A,a,b,a
2261,B,a,b,b
2262,B,a,c,c
2263,A,b,a,a
2264,A,b,c,c
2265,A,a,a,a
2266,B,b,b,b
2267,B,b,c,c
2268,B,a,a,b
2269,B,a,c,a
2270,A,b,a,a
2271,B,b,c,c
2272,A,b,a,c
2273,B,a,c,b
2274,A,c,a,b
2275,B,a,c,b
2276,A,c,b,c
2277,B,b,c,b
2278,A,b,b,b
2279,A,a,a,a
2280,A,b,a,a
2281,B,b,b,c
2282,A,b,a,b
2283,B,b,a,b
2284,A,b,b,b
2285,B,a,c,c
2286,A,b,b,a
2287,B,a,c,b
2288,A,b,b,c
2290,A,b,a,b
2291,A,b,b,c
2292,B,a,c,c
2293,B,a,c,b
2294,B,a,c,c
2295,A,b,a,a
2296,A,b,b,b
2297,A,a,a,b
2298,A,b,b,c
2299,B,a,a,c
2300,A,b,c,a
2301,A,a,b,b
2302,B,b,c,c
2303,B,b,b,b
2304,B,a,c,c
2305,B,b,c,c
2306,A,a,b,c
2307,A,c,b,c
2308,B,a,c,b
2309,B,c,b,c
2310,B,b,c,c
2311,B,a,c,c
2313,B,b,b,c
2314,A,c,a,a
2315,A,b,b,b
2316,B,a,b,c
2317,B,a,c,b
2318,B,a,b,b
2319,A,a,b,a
2320,B,a,b,a
2321,A,b,a,c
2323,A,b,b,a
2324,A,a,c,b
2325,B,a,c,c
2326,A,b,b,b
2327,A,a,c,c
2328,A,c,a,b
2329,A,b,a,c
2330,A,b,b,a
2331,A,b,b,c
2332,B,a,c,c
2333,A,a,b,b
2334,A,b,b,b
2335,B,b,b,b
2336,A,c,a,a
2337,A,c,a,b
2338,A,a,b,b
2339,A,b,b,c
2340,B,b,b,c
2341,A,b,c,c
2342,A,b,b,b
2343,A,b,b,b
2344,B,a,c,c
2345,B,a,b,b
2346,A,c,a,b
2347,A,b,b,b
2348,A,c,b,a
2349,A,b,b,c
2350,A,b,b,b
2351,A,c,b,a
2352,A,c,b,a
2353,B,a,c,c
2354,A,c,b,a
2355,B,c,b,c
2356,A,c,a,b
2357,A,b,c,c
2358,A,b,c,b
2359,A,c,b,c
2360,A,b,c,c
2361,A,b,c,c
2362,A,a,a,a
2363,A,c,b,b
2364,A,b,c,c
2365,A,b,b,b
2366,A,b,b,a
2367,B,b,c,b
2368,B,b,c,c
2369,A,b,b,c
2370,A,b,a,a
2371,B,c,b,c
2372,B,c,c,a
2374,A,c,b,c
2375,B,b,c,c
2376,B,a,c,b
2377,A,c,b,c
2378,B,b,c,b
2379,A,c,a,c
2380,A,c,a,b
2381,A,b,c,a
2382,B,c,b,c
2383,A,b,a,a
2384,B,c,a,c
2385,B,a,c,c
2386,B,c,a,b
2387,A,c,b,b
2389,A,c,b,c
2391,A,c,b,b
2392,A,b,b,b
2393,B,b,c,a
2394,A,c,c,c
2395,A,c,b,b
2396,B,a,b,b
2397,A,c,b,a
2398,A,b,c,c
2399,B,c,b,b
2400,B,b,c,c
2401,A,b,b,a
2402,A,b,b,a
2403,A,c,a,b
2404,A,b,b,b
2405,B,a,b,b
2406,A,c,b,b
2407,A,b,a,a
2408,B,b,c,c
2409,A,b,b,a
2410,B,b,c,b
2411,A,a,b,b
2412,B,b,b,b
2413,A,c,b,a
2414,B,b,a,a
2415,B,a,c,c
2416,B,c,a,b
2417,A,b,a,a
2418,A,b,b,b
2419,B,c,c,b
2420,A,c,a,b
2421,B,a,c,c
2422,B,b,c,c
2423,B,c,a,b
2424,B,b,c,b
2425,A,c,b,b
2426,A,c,b,b
2427,A,c,a,c
2428,B,a,b,c
2429,B,b,c,b
2430,B,c,c,c
2431,B,b,c,c
2432,B,b,a,a
2433,A,b,b,c
2434,A,c,b,b
2435,A,b,b,a
2436,B,a,b,b
2437,A,b,b,b
2438,A,b,b,b
2439,B,b,b,c
2440,B,c,b,a
2441,A,c,c,b
2442,A,c,a,c
2443,A,b,b,b
2444,B,c,c,b
2445,A,c,b,b
2446,A,c,a,a
2447,A,a,c,c
2448,A,b,b,c
2449,A,b,a,b
2450,B,a,c,c
2451,A,c,a,b
2452,A,c,b,a
2453,A,b,b,b
2454,A,c,b,b
2455,A,c,b,c
2456,B,b,c,c
2457,A,b,b,b
2458,A,b,a,c
2459,A,c,a,b
2460,A,a,b,c
2461,A,c,a,b
2462,A,b,b,c
2463,B,b,b,b
2464,A,b,b,b
2465,B,b,b,a
2466,A,b,b,c
2467,A,a,c,c
2468,A,b,a,b
2469,A,b,c,b
2470,B,b,c,c
2471,A,c,b,c
2472,A,c,b,b
2474,A,b,b,b
2475,B,b,c,c
2476,A,a,b,b
2477,B,b,c,c
2478,A,c,b,b
2479,B,a,c,c
2480,B,c,a,a
2481,A,b,b,c
2482,B,c,c,c
2483,A,c,b,c
2484,A,c,b,b
2485,A,c,b,b
2486,A,b,b,a
2487,A,b,a,b
2488,A,c,b,c
2489,A,c,b,b
2490,A,c,b,b
2491,A,c,c,c
2492,A,b,b,a
2493,A,c,a,c
2494,A,b,b,b
2495,A,b,b,a
2496,A,c,b,c
2497,A,b,c,c
2498,A,c,b,b
2499,A,b,a,c
2500,B,b,a,a
2501,A,b,c,c
2502,A,b,b,b
2503,A,b,c,b
2504,A,b,a,b
2505,A,b,a,c
2507,A,b,c,b
2508,B,b,c,c
2509,A,a,b,c
2510,A,c,b,c
2511,A,b,b,c
2512,A,b,b,b
2513,A,c,b,c
2514,A,b,b,b
2515,A,c,b,c
2516,A,c,b,b
2517,A,b,b,b
2518,A,c,b,b
2519,A,c,b,b
2520,A,b,b,a
2521,A,b,b,b
2522,A,b,b,b
2523,A,b,b,a
2524,A,b,b,c
2526,A,b,a,b
2527,A,b,b,c
2528,A,c,a,b
2529,A,b,a,a
2530,A,a,b,a
2531,A,c,c,a
2532,A,b,b,c
2533,A,b,b,b
2534,A,c,c,b
2535,A,c,c,c
2536,A,c,a,b
2537,A,c,b,c
2538,A,b,c,b
2539,A,c,b,b
2540,A,c,b,a
2541,A,c,b,c
2542,A,b,b,b
2543,A,c,b,b
2544,A,b,b,c
2545,A,c,b,b
2546,A,b,c,b
2547,A,b,a,b
2548,A,b,b,b
2549,A,b,b,b
2550,B,b,b,b
2551,B,b,b,b
2552,A,b,b,a
2553,A,b,b,b
2554,A,b,b,c
2555,A,c,a,a
2556,A,c,a,b
2557,A,c,c,b
2558,A,b,b,a
2559,A,b,b,a
2560,A,c,b,c
2561,A,b,c,a
2562,A,c,a,c
2563,A,c,c,a
2564,A,c,b,c
2565,A,b,b,c
2566,A,b,b,b
2567,A,b,c,b
2568,A,a,c,b
2569,A,c,b,a
2570,B,a,c,b
2571,A,b,b,c
2572,A,b,c,b
2573,B,b,b,a
2574,A,c,b,b
2575,A,c,b,b
2576,A,b,a,a
2577,A,c,b,a
2578,A,c,b,b
2579,A,b,a,a
2580,A,c,b,c
2581,A,a,c,b
2582,A,b,b,a
2583,A,b,a,b
2584,A,c,b,c
2585,A,c,b,a
2586,A,b,c,c
2587,A,a,b,b
2588,A,c,c,b
2589,A,c,c,c
2590,A,c,a,a
2591,A,c,b,b
2592,A,b,c,b
2593,A,c,a,a
2594,B,c,a,b
2595,B,b,c,b
2596,A,b,b,c
2597,A,c,b,a
2598,A,b,c,a
2599,A,c,b,a
2600,A,b,a,b
2601,A,b,b,b
2602,A,b,b,b
2603,A,c,b,a
2604,B,b,b,b
2605,A,b,c,b
2606,A,c,b,b
2607,A,c,b,c
2608,A,c,b,c
2609,A,c,b,b
2610,A,c,a,c
2611,A,b,b,b
2612,A,b,c,b
2613,A,c,b,a
2614,A,c,a,a
2615,A,b,b,a
2616,A,c,b,b
2617,A,c,b,c
2618,A,b,b,b
2619,A,b,b,b
2620,A,c,b,b
2621,A,c,b,b
2622,A,c,b,a
2623,A,b,b,b
2624,A,b,b,a
2625,A,b,b,b
2626,A,b,b,a
2627,A,c,b,b
2628,A,c,c,c
