Stkcd,Size,BM,OP,INV
1,B,c,c,c
2,B,c,c,c
4,A,a,b,c
5,A,a,a,a
6,B,b,c,b
10,A,a,a,c
11,A,c,c,a
12,B,b,c,b
14,A,b,b,a
16,A,c,a,a
17,A,a,c,a
19,A,b,b,b
21,B,b,b,c
22,B,b,c,b
23,A,b,b,b
24,B,c,c,c
25,A,a,b,b
26,A,b,b,b
27,B,c,b,a
28,B,b,c,c
29,A,b,c,b
30,A,c,c,c
31,B,c,c,b
33,A,a,a,c
34,A,a,c,c
35,A,a,a,a
36,A,b,b,a
38,A,c,b,b
39,B,c,c,b
40,A,c,c,c
42,B,b,c,b
43,A,c,c,c
45,A,b,b,c
46,B,c,c,c
48,B,a,a,b
49,B,a,c,c
50,B,b,b,a
55,A,b,b,b
56,A,c,c,c
58,A,b,b,c
59,B,c,a,a
60,B,b,b,a
61,B,b,b,b
62,B,a,c,a
63,B,c,a,a
65,A,b,c,c
66,B,c,a,a
68,B,a,a,c
69,B,c,c,c
70,A,b,b,b
78,B,b,b,c
88,B,a,b,b
89,B,b,b,b
90,B,c,c,b
96,A,a,b,a
99,B,b,b,b
100,B,c,b,a
150,A,b,c,c
151,B,b,c,c
155,A,c,a,a
156,A,c,b,c
157,B,c,b,a
159,B,b,a,a
301,B,b,b,a
338,B,c,c,c
400,B,a,c,c
401,B,c,a,b
402,B,c,c,b
403,A,a,c,b
404,A,c,b,c
407,B,b,b,b
409,A,b,c,c
410,B,c,a,c
411,A,c,c,b
413,B,b,b,c
415,B,c,c,c
416,B,a,b,a
417,B,b,c,b
418,B,c,c,b
419,A,b,b,a
420,A,c,a,b
421,A,b,a,a
422,B,c,b,c
423,B,a,c,b
425,B,c,b,b
426,B,b,b,c
428,A,b,b,c
429,A,c,b,a
430,A,a,c,b
488,B,c,a,a
498,A,c,c,b
501,B,c,c,b
503,B,a,a,a
506,B,b,b,a
507,A,b,b,b
509,A,a,a,c
510,B,a,a,a
511,B,b,a,a
513,B,b,c,b
514,B,c,b,b
516,B,b,c,a
517,A,c,c,a
518,B,a,a,a
519,A,c,c,c
521,A,c,b,b
523,A,a,b,c
524,A,a,b,a
525,B,c,c,b
526,A,a,a,a
528,B,c,b,a
529,B,a,b,b
530,A,b,b,a
531,B,c,c,b
532,B,a,b,b
533,A,b,b,c
534,A,c,c,b
537,A,b,c,c
538,B,a,c,c
539,B,c,c,a
540,B,c,c,c
541,B,a,b,a
543,B,c,c,c
544,A,a,b,c
545,A,b,b,c
546,A,a,c,a
548,A,b,a,a
550,B,b,c,c
551,A,b,b,b
552,A,b,c,b
553,B,a,c,b
554,A,a,b,b
555,A,c,c,c
558,A,c,b,b
559,B,b,c,b
561,B,a,a,a
563,B,a,c,b
565,A,b,b,a
566,B,a,b,c
567,A,a,a,c
568,B,a,c,a
570,A,b,b,a
571,A,b,b,c
572,B,c,b,b
573,A,b,b,b
576,A,a,a,c
581,B,b,c,c
582,A,c,c,c
584,A,b,c,a
585,A,a,a,a
586,A,a,b,a
589,A,c,b,b
590,A,a,a,a
591,A,b,a,b
592,B,a,a,a
593,A,a,b,c
595,A,b,a,c
596,B,a,c,b
597,A,c,a,c
598,B,b,c,c
599,A,c,a,a
600,B,c,c,b
601,B,c,b,a
603,A,a,c,a
605,A,a,a,c
606,A,a,a,a
608,A,c,b,c
609,A,b,b,b
610,A,a,a,a
611,A,a,a,a
613,A,a,a,a
615,A,b,a,a
616,B,c,b,a
617,A,b,a,a
619,A,b,b,a
620,B,c,c,c
622,A,a,a,a
623,B,b,b,b
625,B,b,c,b
626,A,c,c,b
627,B,a,a,b
628,A,c,c,b
629,B,c,b,b
630,B,c,b,a
631,B,c,c,b
632,A,c,b,b
633,A,a,a,a
635,A,c,b,a
636,B,b,a,c
637,A,a,b,b
638,A,b,a,b
