,label,rm,ri300,SMB,HML,RMW,CMA,rf,rm-rf,ri300-rf
0,2019_20177,0.034548,0.049791,-0.05163928773702749,0.02364641038752105,0.019624608343083296,-0.01623882917800605,0.1241,-0.08955199999999999,-0.074309
1,2019_20178,0.02484,0.019383,0.008678649895908521,-0.003540260839967748,-0.005771145922502399,0.012940672236509649,0.1241,-0.09926,-0.104717
2,2019_20179,0.006382,0.022532,-0.0045862661171570535,-0.03684066546194685,-0.0025394755492042006,0.008231136185890348,0.1241,-0.117718,-0.101568
3,2019_201710,0.0166,0.00377,-0.03959945859132659,-0.026599911614375447,0.04449013655270015,0.0489834365895945,0.1241,-0.1075,-0.12033
4,2019_201711,-0.022532,0.044368,-0.061655587819061775,0.00941887931975015,0.02674879411162845,0.007852232661123748,0.1241,-0.146632,-0.079732
5,2019_201712,0.001755,-0.000154,-0.029838381637611742,-0.0317586108328947,0.01278112396474905,0.02405102392088975,0.1241,-0.122345,-0.124254
6,2019_20181,0.045015,0.00618,-0.07761283659398927,0.05310160044662195,0.07425517362016576,0.02818221459827845,0.1241,-0.079085,-0.11792
7,2019_20182,-0.059044,0.060792,-0.007057983327131124,-0.01980807792519855,-0.0009141331649904494,0.021558463674916546,0.1241,-0.183144,-0.063308
8,2019_20183,-0.022536,-0.058995,0.059800019561295534,-0.06495512155285475,-0.02027698119489885,0.005451424872284049,0.1241,-0.146636,-0.183095
9,2019_20184,-0.032808,-0.031102,-0.023922237559631715,-0.008648261689086098,0.0190779701391196,0.01219650321231185,0.1241,-0.156908,-0.155202
10,2019_20185,0.004277,-0.036327,-0.03117633562569884,-0.05909675208427515,0.05998943098017865,0.0571083027737074,0.1241,-0.119823,-0.160427
11,2019_20186,-0.077977,0.012111,-0.05030923410230286,-0.002537578400685643,0.056751384564094155,0.028054724503418844,0.1241,-0.202077,-0.111989
12,2019_20187,0.01492,-0.076634,-0.019301999670027867,0.0166077805437458,-0.004191268295265049,-0.0176604616130605,0.1241,-0.10918,-0.200734
13,2019_20188,-0.054974,0.0019,-0.03605226374842857,0.017110003228205307,0.023754798690996098,-0.0010481353993360143,0.1241,-0.179074,-0.1222
14,2019_20189,0.028756,-0.052067,-0.0452788014030448,0.0011963383780307507,0.01591838396939665,-0.007379354531145598,0.1241,-0.095344,-0.17616700000000002
15,2019_201810,-0.085855,0.031297,-0.015205207899988717,0.032397203004293905,0.01213078031938375,-0.018549967928557898,0.1241,-0.209955,-0.092803
16,2019_201811,0.004891,-0.082888,0.05742872779872289,-0.0579148080493031,-0.03687085810280555,0.0034796361640746978,0.1241,-0.119209,-0.206988
17,2019_201812,-0.041942,0.005982,-0.008571541492973619,-0.025570841072531752,0.0212605196174906,0.01394044010985545,0.1241,-0.166042,-0.118118
18,2019_20191,0.036683,-0.051072,-0.0779244106959813,-0.0021880114419184984,0.06103530118030615,0.039109920560738795,0.1241,-0.087417,-0.175172
19,2019_20192,0.148708,0.063434,0.05030039346566276,-0.020470256679746,-0.14892046997086,-0.03786103568673721,0.1241,0.024608000000000005,-0.060666
20,2019_20193,0.061968,0.146093,0.0338323229038276,-0.047996275945920056,-0.03189924257175949,0.007570718902616812,0.1241,-0.062132,0.021993
21,2019_20194,-0.005442,0.055315,-0.04023350443573574,0.006891033985923298,0.03642422219223615,0.019053165653148296,0.1241,-0.129542,-0.068785
22,2019_20195,-0.060273,0.010554,-0.00014993256226941853,-0.026523578236277653,-0.00046873099957754974,-0.0016106700769362471,0.1241,-0.184373,-0.11354600000000001
23,2019_20196,0.03507,-0.072427,-0.04397580795938513,-0.004805213108500201,0.0324964259356085,0.01820212628948515,0.1241,-0.08903,-0.196527
24,2019_20197,-0.003416,0.053942,-0.03136130493174936,-0.00774945545676565,0.01210701459874455,0.020655122229668553,0.1241,-0.127516,-0.070158
