,label,rm,SMB,HML,RMW,CMA,rf,rm-rf
0,2016_20147,0.089937,-0.003311967555105681,0.0134525307532498,-0.006800034303170138,0.006941216834825556,0.2466,-0.156663
1,2016_20148,0.014691,0.04148989543543026,-0.03966553971823495,-0.024435948011468943,0.016869840275105557,0.2466,-0.231909
2,2016_20149,0.077237,0.07593871450179696,-0.036003059492725496,-0.0437017363592804,0.01835162433638724,0.2466,-0.169363
3,2016_201410,0.02357,-0.0018782445328577872,0.012516301975485249,0.008412687696947306,0.014346353384609501,0.2466,-0.22303
4,2016_201411,0.095712,-0.04224359269255548,0.07321292360406015,0.05241258937117994,0.06747840859652199,0.2466,-0.15088800000000002
5,2016_201412,0.165543,-0.23462278948299492,0.20543504000205282,0.07493636373039862,-0.002893510242037489,0.2263,-0.060757000000000005
6,2016_20151,0.007826,0.038012647240816405,-0.09498500428274315,-0.0100180260930961,0.027752225429220546,0.2263,-0.218474
7,2016_20152,0.04031,0.00916904578788045,-0.05246901912925595,-0.015395312043735798,0.037088716398439484,0.2263,-0.18599
8,2016_20153,0.148415,0.07390924501404024,-0.07194566866437674,-0.03593254904367579,0.037986056613238645,0.206,-0.057585
9,2016_20154,0.17834,-0.018073823486491038,-0.011501411240725137,-0.044875653874079546,0.022705218198289023,0.206,-0.02765999999999999
10,2016_20155,0.067707,0.181323696150952,-0.27955628473814415,-0.0724563476122252,0.10789427425862456,0.206,-0.138293
11,2016_20156,-0.069175,-0.020916796770148863,0.060363821294509,-0.0035164034813365535,-0.05217235851334726,0.1856,-0.254775
12,2016_20157,-0.149457,-0.08269085791792467,-0.025348117270172887,0.07165612647142061,0.017892938992647614,0.1652,-0.314657
13,2016_20158,-0.13595,-0.013494853247620302,-0.0028566044175814542,-0.01567452084154665,0.01289779103337059,0.1652,-0.30115000000000003
14,2016_20159,-0.058022,-0.0037049689881842544,-0.019942607320614255,0.0516791635795488,0.03399350113984204,0.1447,-0.20272199999999999
15,2016_201510,0.133979,0.09783304584710469,-0.11210354639221876,-0.055281019656615804,0.04870664888655465,0.1447,-0.010721000000000008
16,2016_201511,0.031874,0.09682801029244967,-0.09166935685716356,0.0057348001635364985,0.046258209575224196,0.1241,-0.092226
17,2016_201512,0.03995,0.05891285456749229,-0.05271778826901285,-0.009613165465096147,-0.0033816795148821997,0.1241,-0.08415
18,2016_20161,-0.24457,-0.06767067318186928,0.023074125393402062,0.02400712068332428,-0.028084095714720286,0.1241,-0.36867
19,2016_20162,-0.018642,0.0003324755766044554,0.0096388313642349,-0.01921078019779165,-0.0160505610153458,0.1241,-0.142742
20,2016_20163,0.13521,0.0498635637138681,-0.051702860414177584,-0.007491610621604736,0.041652668395695945,0.1241,0.011109999999999995
21,2016_20164,-0.019588,0.019766699273877614,-0.0058717874615568,-0.002798557113333702,-0.0188680372236256,0.1241,-0.143688
22,2016_20165,-0.005593,-0.04577601797752391,-0.011591390800082998,0.02483327899539615,0.023538575446372702,0.1241,-0.129693
23,2016_20166,0.019851,0.030571193965485965,-0.035315543087676995,-0.0011513309913910499,0.013152033340237396,0.1241,-0.10424900000000001
24,2016_20167,0.019821,-0.030573718264629506,0.017988631410107953,0.013933036557565347,-0.0062138844006107,0.1241,-0.10427900000000001
