,label,rm,SMB,HML,RMW,CMA,rf,rm-rf
0,2012_20107,0.122383,0.6012529559059597,0.014554377066443205,0.006372885475396092,-0.02153368848811414,0.1856,-0.06321699999999998
1,2012_20108,0.025563,0.29731105546641245,0.10706321377469305,0.006491390252323908,-0.029012834065647093,0.1856,-0.16003699999999998
2,2012_20109,0.011533,0.0508052862303558,0.04393100339436375,-0.009443125237256147,-0.027769400273460948,0.1856,-0.174067
3,2012_201010,0.120296,0.381183414797472,0.02249964334018493,-0.004691242971813586,-0.0012186495076600412,0.1856,-0.06530399999999999
4,2012_201011,-0.044656,-0.00013273864784022968,0.08208020138223804,-0.01413830538515465,-0.01418189397280605,0.206,-0.250656
5,2012_201012,-0.008435,-0.05426329353096962,-0.009692693616514248,-0.027751469518841144,-0.0124954004079355,0.206,-0.214435
6,2012_20111,-0.019474,-0.14828773287068384,-0.04390879580785546,0.005973206089165501,0.017661435229307854,0.2263,-0.245774
7,2012_20112,0.05301,0.3420357557559138,0.046850091329232096,0.025058864517041243,-0.006343266074867501,0.2263,-0.17329
8,2012_20113,0.003187,0.05101089285798127,-0.007380603191425649,-0.0077812169539998996,-0.0010855860774532,0.2466,-0.24341300000000002
9,2012_20114,-0.012649,-0.09027398731437303,-0.005500237200627353,-0.021857546911545195,0.0026552452637580506,0.2466,-0.259249
10,2012_20115,-0.059936,-0.2573636639088648,0.006783798447841351,-0.0264965801285046,-0.006285211684636149,0.2669,-0.326836
11,2012_20116,0.024017,0.1481136421392882,0.022259302510002944,-0.010886546192323352,-0.0194564349214126,0.2669,-0.24288300000000002
12,2012_20117,-0.01157,0.05599367221363735,0.046437102383868,-0.027251038792570053,-0.03114273720012735,0.2669,-0.27847000000000005
13,2012_20118,-0.046803,-0.1352670364636977,0.02266657804500315,-0.028811729065627806,-0.020623212494895748,0.2871,-0.333903
14,2012_20119,-0.087819,-0.4045838271903246,-0.01671609956493514,-0.005811206953117751,0.011723496879187091,0.2871,-0.374919
15,2012_201110,0.043095,0.16215732253732976,-0.013182196343279148,-0.019983398415958295,-0.0032053522384239974,0.2871,-0.24400500000000003
16,2012_201111,-0.051188,-0.1846638161172001,0.03359108816558545,-0.007618406530046105,0.0017399190057808996,0.2871,-0.33828800000000003
17,2012_201112,-0.071647,-0.5001256324285595,-0.057956591979560414,-0.07005304111012683,-0.04645584929931258,0.2871,-0.35874700000000004
18,2012_20121,0.035244,0.07892114903428014,-0.0076112331616142,-0.009334894218422403,0.0031116559354673994,0.2871,-0.251856
19,2012_20122,0.070133,0.45362254263667506,0.03187873218275791,0.0244589838464118,0.008640029789251463,0.2871,-0.21696700000000002
20,2012_20123,-0.068655,-0.2768157984013598,0.007802922333281649,-0.02042869927029066,-0.003175773838028903,0.2871,-0.35575500000000004
21,2012_20124,0.060114,0.28504097834702674,9.55213088924059e-05,0.011736610236746308,0.016992151383888397,0.2871,-0.22698600000000002
22,2012_20125,-0.001385,0.028330517156877583,0.0158900686201391,0.0070980110995791,-0.008326631254959499,0.2871,-0.28848500000000005
23,2012_20126,-0.051093,-0.2583252657102022,0.007432494457023143,-0.01674219642964514,-0.011386918405830098,0.2871,-0.338193
24,2012_20127,-0.05434,-0.3281743148832659,-0.001978835171420352,-0.024057072773278,-0.011071075262818798,0.2669,-0.32124
