,label,rm,ri300,SMB,HML,RMW,CMA,rf,rm-rf,ri300-rf
0,2018_20167,0.019821,-0.004934,-0.0325337193814803,-0.0007094227756121972,0.030443571217741244,-0.000250300928242601,0.1241,-0.10427900000000001,-0.129034
1,2018_20168,0.041275,0.015856,0.015611977531992893,0.004552835721704304,-0.0003558448062017522,0.014274928105219256,0.1241,-0.08282500000000001,-0.108244
2,2018_20169,-0.019371,0.03866,0.024552463949180665,-0.011667716594173249,0.013354632937908452,0.007039117129575849,0.1241,-0.14347100000000002,-0.08544
3,2018_201610,0.030238,-0.02239,0.015826106710382908,-0.014851197118640202,-0.001063154432448598,0.002461899684915253,0.1241,-0.093862,-0.14649
4,2018_201611,0.044556,0.025511,-0.0163609279601373,0.0156747619620919,0.004659913062686354,-0.0086065218675496,0.1241,-0.079544,-0.09858900000000001
5,2018_201612,-0.044622,0.060463,0.013072824344416499,-0.01341185386981884,-0.0008671140892815999,-0.019992693841034644,0.1241,-0.168722,-0.063637
6,2018_20171,0.014058,-0.064421,-0.04958438731257533,0.01768665351038375,0.005681928041677997,-0.009861054319301052,0.1241,-0.110042,-0.188521
7,2018_20172,0.026171,0.023528,0.02184462642805207,-0.0031930653864140485,0.023853133185562207,0.031994534092361845,0.1241,-0.097929,-0.100572
8,2018_20173,-0.00468,0.019141,-0.028355071488773545,-0.0147697288712582,0.0360157429875554,0.03837525924456185,0.1241,-0.12878,-0.104959
9,2018_20174,-0.021656,0.000937,-0.0630081048841032,0.0025191078486621558,0.03642225487725405,0.05125977617968405,0.1241,-0.145756,-0.12316300000000001
10,2018_20175,-0.01564,-0.004714,-0.08074912566377454,0.008893068093086848,0.046016940364607545,0.01600986781456315,0.1241,-0.13974,-0.128814
11,2018_20176,0.043208,0.015446,-0.01955672822925227,-0.04709311949555445,0.027194169585178896,0.02621579713719295,0.1241,-0.08089199999999999,-0.108654
12,2018_20177,0.034548,0.049791,-0.05196057430873358,0.026511216208459504,0.006161658416199301,-0.024597392117505,0.1241,-0.08955199999999999,-0.074309
13,2018_20178,0.02484,0.019383,0.0030592268621721,-0.014029380776034949,0.0042222485948841,0.0073101867021083,0.1241,-0.09926,-0.104717
14,2018_20179,0.006382,0.022532,-0.0034772052320153454,-0.0412260048358127,0.00520487709667675,0.03330367550729035,0.1241,-0.117718,-0.101568
15,2018_201710,0.0166,0.00377,-0.0546668986528133,-0.04179287959805975,0.04760190873421085,0.0394059526045122,0.1241,-0.1075,-0.12033
16,2018_201711,-0.022532,0.044368,-0.0659553747251815,0.0013969905887852036,0.026490688080185492,0.007573959929986397,0.1241,-0.146632,-0.079732
17,2018_201712,0.001755,-0.000154,-0.03536585142260555,-0.03538419209596325,0.020014905590626197,0.022078774697219798,0.1241,-0.122345,-0.124254
18,2018_20181,0.045015,0.00618,-0.09244944404748656,0.04507876690255194,0.053409549475505955,0.01034318983356785,0.1241,-0.079085,-0.11792
19,2018_20182,-0.059044,0.060792,-0.011780480249764913,-0.02470235357742845,0.015222058002539292,0.024850467724674107,0.1241,-0.183144,-0.063308
20,2018_20183,-0.022536,-0.058995,0.06109374338616407,-0.03958912588891805,-0.0304586330527588,0.01312360440531555,0.1241,-0.146636,-0.183095
21,2018_20184,-0.032808,-0.031102,-0.025912132672748153,0.0015402966427417036,-0.0006941213471706002,-0.009187845041481051,0.1241,-0.156908,-0.155202
22,2018_20185,0.004277,-0.036327,-0.0391583942885082,-0.041563741380118854,0.027356668060808154,0.0221641556863962,0.1241,-0.119823,-0.160427
23,2018_20186,-0.077977,0.012111,-0.05725895842533234,0.013241626361133955,0.013204612708705057,-0.001377481073475302,0.1241,-0.202077,-0.111989
24,2018_20187,0.01492,-0.076634,-0.007243280582083456,0.032561041962837496,-0.01855579189378455,-0.029760362563943852,0.1241,-0.10918,-0.200734
