,label,rm,SMB,HML,RMW,CMA,rf,rm-rf
0,2013_20117,-0.01157,0.06182659150295072,0.04407348693058205,-0.03521640251605115,-0.021583055256495252,0.2669,-0.27847000000000005
1,2013_20118,-0.046803,-0.13400739304743037,0.02896845775047525,-0.0456299033367719,-0.022497493122909353,0.2871,-0.333903
2,2013_20119,-0.087819,-0.39496300341791263,-0.017307730053660354,-0.024964949596403448,0.002260120543309957,0.2871,-0.374919
3,2013_201110,0.043095,0.17177619234028887,-0.015768133932500948,-0.019072455305293,-0.026703671698766352,0.2871,-0.24400500000000003
4,2013_201111,-0.051188,-0.1818505971064045,0.0327499033236022,-0.025989159873670693,-0.0275271851880615,0.2871,-0.33828800000000003
5,2013_201112,-0.071647,-0.49482168305427227,-0.06709158756554855,-0.0737252464042515,-0.026219535829354945,0.2871,-0.35874700000000004
6,2013_20121,0.035244,0.08325096073455572,-0.01094574353645055,0.009699167172577398,0.0045587020880586,0.2871,-0.251856
7,2013_20122,0.070133,0.4538314814129987,0.032344104873222146,0.031221374757802834,-0.012342887998020559,0.2871,-0.21696700000000002
8,2013_20123,-0.068655,-0.27313291877381823,0.018883438985714596,-0.029557877371736797,-0.0169610080241771,0.2871,-0.35575500000000004
9,2013_20124,0.060114,0.29719530644426834,0.013150816891846051,0.003973411039440558,-0.007715025853068505,0.2871,-0.22698600000000002
10,2013_20125,-0.001385,0.025277226353013865,0.033436114224758694,-0.0015322445909878996,-0.007418443371934901,0.2871,-0.28848500000000005
11,2013_20126,-0.051093,-0.2321161895197967,0.013998279913293006,-0.05574576602296871,-0.0381591289314038,0.2871,-0.338193
12,2013_20127,-0.05434,-0.30749293661113025,0.0048906749146829485,-0.04871481665267531,-0.0319137813578318,0.2669,-0.32124
13,2013_20128,-0.024889,0.057766855140429695,0.0158469833529887,-0.001154166426513649,-0.0034872527160489993,0.2466,-0.27148900000000004
14,2013_20129,0.025116,0.06008784790494387,0.022136644023397697,0.0012869168671609983,-0.005358888107599699,0.2466,-0.22148400000000001
15,2013_201210,-0.009486,0.037795444720292566,-0.011269933765556952,-0.020487626781425947,-0.0110678037976436,0.2466,-0.25608600000000004
16,2013_201211,-0.058453,-0.33913476303352463,-0.049318357974629946,-0.03105758733985315,0.0013296498225080083,0.2466,-0.305053
17,2013_201212,0.150147,0.6332780103964767,-0.01719509419724019,-0.002716632992116094,-0.023654985758578856,0.2466,-0.09645300000000001
18,2013_20131,0.050681,0.2599688505940852,0.0167066213971889,0.003686540984011402,-0.004749375068090207,0.2466,-0.195919
19,2013_20132,-0.001401,0.05985687794690244,0.020747410133076252,0.0074754985754737005,-0.004569027332040149,0.2466,-0.24800100000000003
20,2013_20133,-0.051748,-0.15409914154734425,0.031647002540437646,-0.0032941510801222963,0.0043581235548188525,0.2466,-0.298348
21,2013_20134,-0.02487,-0.14876762840132604,-0.005434710360018153,-0.004659600149643698,-0.010967420708269249,0.2466,-0.27147
22,2013_20135,0.073324,0.42706719577507096,0.03182455600674549,0.02427054732175985,-0.0060580740388908524,0.2466,-0.173276
23,2013_20136,-0.135952,-0.6203216205894555,-0.004279569405218793,-0.03375369818537248,-0.007070204868162858,0.2466,-0.382552
24,2013_20137,0.024461,0.20417319897344774,0.03304092036007995,0.014871646341178303,0.0168150691576369,0.2466,-0.222139
