,label,R
114,2012_20119_OP_Ab,-0.1205845535777332
115,2012_201110_OP_Ab,0.044337797050331425
116,2012_201111_OP_Ab,-0.04183326499992753
117,2012_201112_OP_Ab,-0.15363970389178783
118,2012_20121_OP_Ab,-0.010793223387121501
119,2012_20122_OP_Ab,0.13681105583714545
120,2012_20123_OP_Ab,-0.06431285166097594
121,2012_20124_OP_Ab,0.06813193305814441
122,2012_20125_OP_Ab,0.021933275658470464
123,2012_20126_OP_Ab,-0.06794765244729993
124,2012_20127_OP_Ab,-0.09038324397431106
125,2012_20107_OP_Ac,0.16260705868417646
126,2012_20108_OP_Ac,0.11402201287553276
127,2012_20109_OP_Ac,0.042985395887289626
128,2012_201010_OP_Ac,0.06722402191887322
129,2012_201011_OP_Ac,0.0229047005773496
130,2012_201012_OP_Ac,-0.00763832729679022
131,2012_20111_OP_Ac,-0.045600746500464064
132,2012_20112_OP_Ac,0.1122937422873076
133,2012_20113_OP_Ac,0.007029986018009716
134,2012_20114_OP_Ac,-0.009435118877076444
135,2012_20115_OP_Ac,-0.053340106155141856
136,2012_20116_OP_Ac,0.04680896076174482
137,2012_20117_OP_Ac,0.0676220360197816
138,2012_20118_OP_Ac,-0.019769209958147127
139,2012_20119_OP_Ac,-0.12054941820251867
140,2012_201110_OP_Ac,0.04920379247264579
141,2012_201111_OP_Ac,-0.04308481832007652
142,2012_201112_OP_Ac,-0.15426802897968153
143,2012_20121_OP_Ac,0.01842960701552722
144,2012_20122_OP_Ac,0.1422943925243906
145,2012_20123_OP_Ac,-0.07591458606373368
146,2012_20124_OP_Ac,0.08450495810847954
147,2012_20125_OP_Ac,0.011890881661927834
148,2012_20126_OP_Ac,-0.07601542845963903
149,2012_20127_OP_Ac,-0.09724454187588091
150,2012_20107_INV_Aa,0.1584591802057452
151,2012_20108_INV_Aa,0.10132425596543583
152,2012_20109_INV_Aa,0.016722033700233632
153,2012_201010_INV_Aa,0.07648650785149733
154,2012_201011_INV_Aa,0.021688382670756262
155,2012_201012_INV_Aa,-0.030421698866869254
156,2012_20111_INV_Aa,-0.05247135465082693
157,2012_20112_INV_Aa,0.10713936084636255
158,2012_20113_INV_Aa,0.024489818419098454
159,2012_20114_INV_Aa,-0.02192418543340681
160,2012_20115_INV_Aa,-0.07267296901098558
161,2012_20116_INV_Aa,0.0336558276400425
162,2012_20117_INV_Aa,0.011371936707021586
163,2012_20118_INV_Aa,-0.024246098916443658
164,2012_20119_INV_Aa,-0.1118946436732164
165,2012_201110_INV_Aa,0.02367610764588452
166,2012_201111_INV_Aa,-0.03684645843336412
167,2012_201112_INV_Aa,-0.20562669757529667
168,2012_20121_INV_Aa,0.009842767003182734
169,2012_20122_INV_Aa,0.15182112741078374
170,2012_20123_INV_Aa,-0.07579030417392772
171,2012_20124_INV_Aa,0.07880197088199573
172,2012_20125_INV_Aa,0.00989312150642649
173,2012_20126_INV_Aa,-0.0713982629574429
174,2012_20127_INV_Aa,-0.1042289198753874
175,2012_20107_INV_Ab,0.15730437390123453
176,2012_20108_INV_Ab,0.0984079173904708
177,2012_20109_INV_Ab,0.00047764870427361935
178,2012_201010_INV_Ab,0.08232278768449991
179,2012_201011_INV_Ab,0.023310350324862984
180,2012_201012_INV_Ab,-0.025076003977441044
181,2012_20111_INV_Ab,-0.049546258799285856
182,2012_20112_INV_Ab,0.10035689357714743
