,label,rm,ri300,SMB,HML,RMW,CMA,rf,rm-rf,ri300-rf
0,2015_20137,0.024461,-0.155687,0.03216689809638211,-0.0750599552775637,-0.0052914570838370895,0.0107771511649041,0.2466,-0.222139,-0.402287
1,2015_20138,0.053109,-0.003462,0.04305750632166005,0.0017504138145128523,-0.034141810635518605,0.0217237479584622,0.2466,-0.19349100000000002,-0.250062
2,2015_20139,0.038658,0.055124,-0.018231958101583075,-0.04140034437764525,-0.021089912205428003,0.004601659655671705,0.2466,-0.20794200000000002,-0.191476
3,2015_201310,-0.017304,0.041111,-0.004061027575516857,0.03090081543670655,0.03450866787385525,0.00784442665411015,0.2466,-0.263904,-0.205489
4,2015_201311,0.04035,-0.014661,0.019420597985606927,-0.031137420814029752,-0.02117425724202271,0.015814902462674897,0.2466,-0.20625000000000002,-0.261261
5,2015_201312,-0.041356,0.027478,0.015556626374393891,-0.012170238730585054,0.04061312343084005,0.015742743645129103,0.2466,-0.287956,-0.219122
6,2015_20141,-0.030869,-0.044658,0.025415491943039832,-0.07470905504006045,-0.002576958020376951,0.02662162032787095,0.2466,-0.277469,-0.291258
7,2015_20142,0.013349,-0.054753,0.03973924968782713,-0.0290353583310748,-0.01210949840571795,-0.0012580821580808043,0.2466,-0.23325100000000001,-0.30135300000000004
8,2015_20143,-0.016546,-0.01066,0.006410365841124701,0.044033607076468154,0.0081731332159438,-0.0111831063484463,0.2466,-0.263146,-0.25726
9,2015_20144,-0.005269,-0.014991,-0.009492806703501893,-0.011443247394525052,0.019854336454929303,0.014390538373562,0.2466,-0.251869,-0.261591
10,2015_20145,0.012399,0.005756,0.013374508329728585,-0.0230132542616884,-0.0203159172044929,-0.006310138724437148,0.2466,-0.23420100000000002,-0.240844
11,2015_20146,0.022671,-0.001017,0.020232934472078048,-0.023270979805596052,-0.016081807111396798,0.006527507514751004,0.2466,-0.22392900000000002,-0.247617
12,2015_20147,0.089937,0.004013,-0.004522115406247114,0.011790133497775003,-0.02550162902028455,0.0005889766952739961,0.2466,-0.156663,-0.24258700000000002
13,2015_20148,0.014691,0.085507,0.051845252967788864,-0.051429667800192994,-0.0314636530029845,-0.0010927326270953018,0.2466,-0.231909,-0.16109300000000001
14,2015_20149,0.077237,-0.005091,0.07188125811421063,-0.03964415332191369,-0.06555019279201144,-0.019874649419331,0.2466,-0.169363,-0.251691
15,2015_201410,0.02357,0.048198,-0.012257439605944,0.010318891716228051,-0.0016159134357341988,0.0034246810748709486,0.2466,-0.22303,-0.19840200000000002
16,2015_201411,0.095712,0.023393,-0.061119071594441216,0.0672488805404812,0.029400813115971806,0.04205206721027575,0.2466,-0.15088800000000002,-0.22320700000000002
17,2015_201412,0.165543,0.119799,-0.251176591499243,0.18564123086669435,0.09858782757837439,0.0133241267971001,0.2263,-0.060757000000000005,-0.106501
18,2015_20151,0.007826,0.258075,0.04746393794923462,-0.10970200931990329,-0.008897669216443294,-0.006662642052919256,0.2263,-0.218474,0.031775
19,2015_20152,0.04031,-0.028105,0.02190061717081699,-0.04237612550645925,-0.013723075805488802,0.011808530727939866,0.2263,-0.18599,-0.254405
20,2015_20153,0.148415,0.040314,0.07283510211129036,-0.041488346642251914,-0.0537967778421449,0.02732588204789889,0.206,-0.057585,-0.165686
21,2015_20154,0.17834,0.133888,-0.04375948778177247,0.01251556271513811,-0.0830851929290418,-0.045763349356853625,0.206,-0.02765999999999999,-0.07211199999999998
22,2015_20155,0.067707,0.172463,0.1577855843736865,-0.15534486872479195,-0.1095369290323158,0.0313008054788305,0.206,-0.138293,-0.033536999999999983
23,2015_20156,-0.069175,0.019146,-0.03450153524539756,0.09036624735919604,-0.0029439966266007964,-0.030301471261172903,0.1856,-0.254775,-0.166454
24,2015_20157,-0.149457,-0.075985,-0.08567292935208876,-0.0201757246962036,0.053826917699795876,-0.0045512144518704,0.1652,-0.314657,-0.241185
