Stkcd,Size,BM,OP,INV
856,A,a,a,b
858,B,a,c,b
859,A,b,a,a
860,B,c,b,b
861,B,c,b,b
862,A,c,a,a
863,A,c,b,a
868,A,c,a,a
869,B,b,c,b
875,B,c,a,b
876,B,b,c,b
877,B,c,a,a
878,B,b,b,b
880,A,c,a,b
881,A,c,b,b
882,B,c,a,c
883,B,c,b,b
885,B,b,c,c
886,A,a,a,a
887,B,b,c,c
888,A,a,b,a
889,B,a,b,b
890,A,c,c,b
892,A,b,c,c
893,A,b,a,a
895,B,a,c,b
897,A,b,a,a
898,B,c,b,a
899,A,c,a,a
901,B,b,b,b
902,B,b,c,b
903,B,c,b,c
905,A,b,b,b
906,A,c,b,c
908,A,c,b,a
909,A,b,b,a
910,B,a,c,b
911,A,c,a,b
913,B,a,a,b
915,A,a,c,b
917,B,c,a,b
918,B,c,c,a
919,A,b,b,a
920,A,a,c,a
921,B,c,c,b
922,A,b,b,a
923,A,c,b,c
925,A,b,b,c
926,B,c,c,b
927,B,b,a,b
928,A,c,c,a
929,A,b,a,a
931,A,b,a,b
932,B,c,c,b
933,B,c,c,b
935,B,a,b,b
936,A,c,a,c
937,B,c,b,b
938,B,c,b,b
948,A,b,a,b
949,A,b,a,b
951,B,c,c,c
952,A,a,c,a
953,A,a,a,b
955,A,a,b,b
957,A,c,b,c
958,A,c,a,c
959,B,c,b,b
960,B,c,b,b
961,B,c,b,c
962,A,a,a,a
963,B,a,c,b
965,B,c,b,c
966,A,c,a,a
967,B,c,a,c
968,B,b,c,c
969,B,b,a,a
970,B,a,b,b
971,A,b,b,a
973,A,b,a,b
975,B,a,b,b
976,A,b,b,b
977,B,b,b,c
978,A,b,a,a
980,B,c,b,c
981,B,c,b,c
982,A,c,a,b
983,B,c,c,b
985,A,a,b,b
987,A,c,b,b
988,B,a,b,c
989,B,b,c,c
990,B,c,a,b
993,A,c,a,b
995,A,a,c,a
996,A,a,b,a
997,B,a,c,c
998,B,a,c,c
999,B,a,c,c
1696,A,b,b,b
1896,A,c,a,c
1979,B,c,c,c
2001,B,a,c,c
2002,B,b,c,b
2003,B,a,c,b
2006,A,a,b,b
2007,B,a,c,b
2008,B,a,c,c
2009,A,b,b,b
2010,B,c,b,c
2012,A,a,a,a
2013,B,b,b,b
2014,A,a,c,b
2015,A,a,a,b
2016,B,b,c,a
2017,A,a,a,a
2018,A,a,a,a
2019,B,a,c,c
2020,B,b,a,c
2021,A,a,a,a
2022,B,a,c,b
2023,B,b,a,b
2024,B,c,a,b
2025,B,a,c,c
2026,A,b,b,b
2027,B,a,c,c
2028,B,b,b,b
2029,B,b,b,b
2030,B,a,a,b
2031,A,b,a,c
2032,B,a,c,b
2034,A,c,b,c
2035,B,a,c,b
2036,B,b,c,c
2038,B,a,c,b
2039,A,c,c,a
2040,A,b,b,a
2041,B,a,a,a
2042,B,b,b,c
2043,B,a,c,c
2044,B,a,c,c
2045,A,b,b,c
2046,A,b,b,c
2047,B,b,b,a
2048,B,c,c,c
2049,B,a,b,b
2050,B,a,c,c
2052,A,a,a,a
2053,A,b,b,b
2054,A,a,a,a
2055,B,b,b,c
2056,B,a,c,b
2057,A,b,b,c
2058,A,a,a,a
2060,A,c,b,b
2061,B,c,c,c
2062,A,c,b,a
2063,A,a,b,b
2064,B,b,b,b
2065,B,a,b,b
2066,A,c,a,b
2067,A,b,c,b
2068,B,b,c,c
2069,A,b,a,a
2071,A,b,c,c
2073,B,b,a,a
2074,B,b,b,c
2076,A,b,b,c
2077,A,b,a,b
2078,B,b,c,c
2079,A,a,b,b
2080,B,c,b,b
2081,B,b,c,b
2083,B,b,c,b
2084,A,b,b,c
2085,B,a,c,b
2087,A,c,b,b
2088,A,b,c,b
2089,B,b,a,a
2090,A,b,b,b
2091,B,c,c,c
2092,B,c,c,c
2093,B,a,b,a
2094,B,b,c,c
2095,B,a,a,b
2096,A,b,a,a
2097,A,c,b,c
2099,B,b,b,b
2100,A,b,c,c
2101,A,c,b,c
2104,A,a,b,b
2105,A,a,b,b
2106,A,b,a,a
2107,A,a,c,c
2108,B,a,c,b
2109,A,c,b,a
2110,B,b,c,c
2111,A,b,b,b
2114,A,a,a,c
2115,A,b,a,c
2116,A,b,c,b
2117,B,a,c,a
2118,B,b,b,c
2119,A,a,b,b
2120,B,c,c,c
2123,B,b,b,a
2124,A,b,b,c
2125,A,b,a,b
2126,B,b,b,c
2127,B,a,c,c
2128,B,b,c,b
2129,B,b,a,c
2130,A,b,b,b
2131,B,c,b,c
2132,A,b,a,c
2133,A,c,b,a
2134,A,a,a,a
2135,A,c,a,b
2136,A,a,c,a
2137,A,b,b,b
2138,B,a,b,c
2139,A,a,c,c
2140,A,b,a,b
2141,A,a,a,b
2142,B,c,c,b
2143,B,a,c,c
2144,A,b,b,a
2145,A,b,c,b
2146,B,c,c,c
2148,A,a,c,b
2149,A,b,b,b
2150,A,a,b,b
2151,B,b,a,c
2152,B,b,b,b
2153,B,a,b,b
2154,A,b,a,a
2155,B,b,b,b
2156,B,b,a,b
2157,B,b,b,c
2158,B,a,c,c
2159,A,b,b,b
2161,B,a,a,b
2162,A,a,a,a
2164,A,c,b,c
2165,A,b,a,b
2166,A,b,c,c
2167,A,a,a,b
2169,A,b,b,b
2170,A,b,a,b
2172,A,c,b,c
2173,A,c,b,a
2174,B,a,c,c
2175,A,a,a,a
2176,B,b,b,c
2177,A,a,a,a
2178,A,a,a,a
2179,B,a,c,c
2180,B,c,a,a
2181,B,b,a,a
2182,A,b,b,b
2183,B,c,b,b
2184,A,b,a,a
2185,B,a,b,c
2186,A,a,c,b
2187,A,b,b,a
2188,A,a,a,a
2190,B,b,a,b
2191,B,b,b,c
2192,B,a,a,c
2193,A,b,a,b
2194,A,a,a,a
2195,B,a,b,c
2196,A,b,b,b
2197,A,b,a,b
2198,A,a,a,a
2199,A,a,a,a
2200,A,c,a,a
2201,A,b,a,b
2202,B,b,c,b
2203,B,b,c,c
2204,B,c,a,a
2205,A,b,a,b
2206,A,b,c,b
2207,A,a,b,a
2208,A,c,b,c
2209,A,b,a,a
2211,A,a,a,b
2212,B,b,b,b
2213,A,a,a,a
2214,A,a,a,b
2215,B,b,c,c
2216,A,b,a,b
2217,B,b,b,c
2218,A,b,b,c
2220,A,c,a,b
2221,B,b,c,b
2222,B,a,c,b
2223,B,a,b,b
2224,A,a,b,b
2225,A,c,a,b
2227,A,a,a,b
2228,B,b,b,c
2229,A,a,a,a
2230,B,a,b,c
2231,A,a,a,b
2232,A,a,b,b
