Stkcd,Size,BM,OP,INV
1,B,c,c,b
2,B,c,c,b
4,A,a,a,c
6,B,c,c,b
8,A,a,b,b
9,B,b,b,b
11,A,c,c,a
12,B,c,b,a
14,A,b,c,b
17,A,a,a,a
18,A,a,a,b
19,A,a,a,a
21,B,b,b,b
23,A,b,b,b
25,A,a,b,b
26,A,b,b,a
27,B,c,b,b
28,B,b,c,b
29,B,b,c,b
30,A,c,c,a
31,B,c,c,b
32,A,b,b,c
36,B,b,a,b
37,A,c,a,a
39,B,c,c,c
40,A,b,b,b
42,B,c,c,c
43,B,c,c,b
45,A,b,a,a
46,B,c,c,c
48,B,a,c,c
49,B,b,c,c
50,B,b,a,c
55,A,b,b,c
56,A,c,a,a
58,B,b,b,c
59,B,c,a,c
60,B,b,b,a
61,B,b,a,b
62,B,a,c,a
63,B,c,a,b
65,B,b,c,c
68,B,a,a,a
69,B,c,c,b
78,B,c,b,c
88,B,a,b,c
89,B,c,b,b
90,B,b,c,b
96,B,a,b,a
99,B,b,b,b
100,B,c,b,c
151,A,a,c,b
153,A,b,b,b
155,A,a,c,a
156,A,c,c,b
157,B,c,a,b
158,B,b,a,a
159,A,b,b,a
301,B,b,b,b
333,B,c,c,c
338,B,c,c,c
400,B,b,c,c
401,B,c,a,a
402,B,c,c,b
404,A,c,c,b
407,A,b,b,b
408,A,a,a,a
409,A,b,a,c
410,B,c,a,c
413,B,b,b,c
415,B,c,b,c
417,B,b,c,b
418,B,c,c,c
419,A,b,b,a
420,A,c,a,a
421,A,b,a,a
422,A,c,a,b
423,B,a,c,c
425,B,c,a,a
428,A,c,a,b
429,A,c,b,a
430,A,a,c,b
488,B,c,a,c
498,A,c,c,b
501,B,c,c,c
503,B,a,a,a
504,A,a,a,a
505,A,b,a,c
507,A,b,a,c
510,A,a,a,a
511,B,a,a,b
513,B,b,c,b
516,B,a,c,a
517,B,c,b,a
518,B,a,a,a
521,A,c,b,b
523,A,b,b,c
524,A,a,b,a
525,B,b,b,b
528,B,c,a,a
529,A,a,c,b
530,A,b,b,a
531,A,b,c,a
532,A,a,b,a
533,A,b,b,a
534,A,b,b,b
536,A,c,b,b
537,A,b,c,b
538,B,a,c,c
539,B,c,c,a
540,B,c,c,c
541,B,a,c,b
543,B,c,c,b
546,A,c,c,c
547,B,a,b,c
548,A,a,a,a
550,B,b,c,b
551,A,b,b,a
552,A,c,c,b
553,A,b,c,b
554,A,a,a,a
555,B,c,b,b
557,A,a,a,a
558,B,c,b,a
559,B,a,c,c
560,A,c,b,a
561,B,a,b,b
563,B,a,c,b
565,A,a,b,a
568,B,a,c,a
570,A,b,b,b
571,A,b,b,c
572,B,c,b,b
573,A,b,a,b
576,A,a,a,a
581,B,b,c,b
582,A,c,c,a
585,A,a,b,b
587,B,b,c,c
589,A,c,b,c
590,A,a,a,b
592,B,a,a,b
593,A,a,b,a
595,A,b,a,a
596,B,a,c,b
597,A,c,a,b
598,B,b,b,b
599,A,c,a,b
600,B,c,c,c
601,B,c,b,a
603,B,a,c,c
605,A,c,b,c
606,A,a,a,a
607,A,a,c,a
609,A,a,c,b
610,A,a,a,a
611,A,a,a,a
612,B,b,b,c
613,A,a,a,a
617,A,b,a,a
619,A,b,b,a
620,B,c,c,c
623,B,b,b,b
625,B,b,c,c
626,B,c,c,c
627,B,a,b,a
628,A,c,a,b
629,B,c,a,c
631,B,c,c,a
632,A,c,a,b
633,A,a,a,a
635,A,c,a,a
636,A,b,a,c
637,A,a,c,b
638,A,b,a,c
639,A,a,c,c
651,B,b,c,b
652,B,c,c,c
656,B,c,b,c
657,A,c,a,a
659,A,b,a,a
661,B,a,c,b
662,A,a,a,a
666,A,c,c,b
667,B,c,a,b
669,A,c,b,c
670,A,a,a,c
671,B,c,c,c
673,A,a,a,c
678,A,b,a,b
680,A,c,a,a
681,A,a,b,c
682,A,b,b,b
685,B,b,b,c
686,B,b,c,c
690,B,b,c,a
692,A,c,a,b
695,A,a,a,a
698,A,c,a,b
700,A,b,c,a
701,A,c,b,c
702,A,a,b,a
703,B,c,a,b
705,A,b,b,b
710,A,a,b,b
712,B,b,c,c
713,A,b,b,a
717,B,c,a,a
718,B,c,c,b
721,A,a,a,b
722,A,c,b,b
723,A,a,b,a
725,B,c,b,c
726,B,c,c,a
727,A,c,a,c
728,B,b,b,c
729,B,b,b,a
731,A,b,a,a
732,B,c,c,c
733,B,b,b,c
735,A,b,a,a
736,A,c,b,c
737,A,b,a,a
738,B,a,b,a
739,A,b,c,b
750,B,b,c,c
751,B,a,a,a
752,A,a,b,a
753,A,c,b,b
756,A,c,b,b
757,A,a,b,c
758,B,c,b,b
759,A,c,b,a
760,A,b,a,a
761,B,c,a,b
762,B,a,a,a
767,B,c,c,a
768,B,b,b,b
776,B,c,c,c
777,B,a,b,a
779,A,a,a,c
780,A,b,a,a
783,B,b,c,c
785,A,c,b,a
788,B,b,a,b
789,A,c,c,b
790,A,a,a,b
791,A,c,b,b
792,B,c,b,c
795,A,b,a,c
797,B,c,b,b
798,A,a,a,a
800,B,b,a,a
801,B,a,b,a
802,B,a,b,c
803,A,a,b,a
807,B,c,a,b
809,A,c,a,b
810,A,c,c,c
811,A,b,c,b
815,B,b,c,a
816,B,b,a,c
819,A,a,b,b
821,A,b,a,a
822,A,b,b,a
823,A,b,b,c
825,B,c,a,a
826,B,a,c,c
828,B,b,c,b
829,B,c,a,a
830,B,c,b,b
831,B,a,a,a
833,A,a,a,b
835,A,a,a,a
836,A,b,a,a
837,A,c,a,c
838,A,c,c,c
848,B,a,c,a
851,A,b,b,b
852,A,b,b,a
856,A,c,a,b
858,B,b,c,b
859,A,b,a,c
860,B,c,b,b
861,B,b,c,c
863,A,c,b,c
868,A,b,a,b
869,B,b,c,b
875,B,c,a,b
876,B,b,c,b
877,B,c,a,a
880,A,c,b,c
885,A,c,b,b
886,A,b,a,a
888,A,a,c,b
893,A,c,a,c
895,B,b,c,b
897,B,b,c,a
898,B,c,b,a
899,A,c,c,a
900,B,c,b,b
901,B,a,a,c
902,A,b,c,c
903,A,c,b,b
905,A,b,b,c
906,A,b,b,c
908,A,a,c,c
909,A,c,a,b
910,A,c,b,a
911,A,c,a,a
912,A,c,a,a
913,A,b,a,a
915,A,a,c,c
916,B,b,b,c
918,B,c,b,b
919,A,b,b,b
920,A,a,b,a
921,B,c,c,b
922,A,b,a,c
923,A,b,a,a
925,A,a,a,b
926,A,c,c,b
927,B,b,a,a
928,A,c,c,c
929,A,b,c,b
930,B,b,a,b
931,A,a,b,a
932,B,c,a,b
933,B,c,a,b
935,A,c,b,a
936,B,b,b,c
937,B,c,a,a
939,B,b,b,c
948,A,b,a,a
949,A,b,b,b
950,A,c,a,b
951,B,c,c,b
952,A,a,a,a
953,A,b,b,a
955,A,a,a,a
957,A,b,c,c
958,B,b,c,a
960,B,b,a,a
961,B,c,b,c
962,A,b,a,a
965,A,b,b,a
966,B,c,c,a
969,B,b,a,b
970,B,a,b,a
971,A,a,a,a
973,A,b,b,a
975,B,a,b,b
977,B,a,c,c
978,A,b,b,b
