year,month,factor,pair,R
2012,20125,OP,AB,0.038157818
2012,20126,OP,AB,-0.06026863
2012,20127,OP,AB,-0.119470052
2012,20107,OP,AC,0.138513255
2012,20108,OP,AC,0.107294589
2012,20109,OP,AC,-0.020945374
2012,201010,OP,AC,0.057540196
2012,201011,OP,AC,0.076043844
2012,201012,OP,AC,-0.029471641
2012,20111,OP,AC,-0.085689121
2012,20112,OP,AC,0.082687588
2012,20113,OP,AC,-0.023242768
2012,20114,OP,AC,-0.056897161
2012,20115,OP,AC,-0.086264201
2012,20116,OP,AC,0.053225234
2012,20117,OP,AC,0.021865129
2012,20118,OP,AC,-0.027943258
2012,20119,OP,AC,-0.111953674
2012,201110,OP,AC,0.038487023
2012,201111,OP,AC,-0.035164537
2012,201112,OP,AC,-0.127488555
2012,20121,OP,AC,-0.030703193
2012,20122,OP,AC,0.139786005
2012,20123,OP,AC,-0.052180951
2012,20124,OP,AC,0.036817995
2012,20125,OP,AC,0.015577019
2012,20126,OP,AC,-0.054098018
2012,20127,OP,AC,-0.105507284
2012,20107,OP,AD,0.136840391
2012,20108,OP,AD,0.120314926
2012,20109,OP,AD,-0.009766226
2012,201010,OP,AD,0.083531527
2012,201011,OP,AD,0.062438705
2012,201012,OP,AD,0.001974709
2012,20111,OP,AD,-0.076470004
2012,20112,OP,AD,0.088127827
2012,20113,OP,AD,-0.034067642
2012,20114,OP,AD,-0.029372895
2012,20115,OP,AD,-0.061908392
2012,20116,OP,AD,0.059110054
2012,20117,OP,AD,0.035710241
2012,20118,OP,AD,-0.013417948
2012,20119,OP,AD,-0.126640102
2012,201110,OP,AD,0.043004197
2012,201111,OP,AD,-0.036193804
2012,201112,OP,AD,-0.164015059
2012,20121,OP,AD,-0.008017788
2012,20122,OP,AD,0.116944541
2012,20123,OP,AD,-0.084204273
2012,20124,OP,AD,0.070555689
2012,20125,OP,AD,0.004655981
2012,20126,OP,AD,-0.054703249
2012,20127,OP,AD,-0.113982558
2012,20107,OP,AE,0.13483456
2012,20108,OP,AE,0.152405775
2012,20109,OP,AE,0.013065925
2012,201010,OP,AE,0.059954212
2012,201011,OP,AE,0.013376176
2012,201012,OP,AE,0.012462126
2012,20111,OP,AE,-0.024068209
2012,20112,OP,AE,0.109587022
2012,20113,OP,AE,0.022759038
2012,20114,OP,AE,-0.001415647
2012,20115,OP,AE,-0.080587592
2012,20116,OP,AE,0.05019056
2012,20117,OP,AE,0.047815649
2012,20118,OP,AE,0.002904508
2012,20119,OP,AE,-0.096686562
2012,201110,OP,AE,0.042705761
2012,201111,OP,AE,-0.055919853
2012,201112,OP,AE,-0.200485376
2012,20121,OP,AE,0.062598425
2012,20122,OP,AE,0.170931696
2012,20123,OP,AE,-0.07886365
2012,20124,OP,AE,0.085987736
2012,20125,OP,AE,-0.017552131
2012,20126,OP,AE,-0.062195329
2012,20127,OP,AE,-0.104106408
2012,20107,INV,AA,0.134143713
2012,20108,INV,AA,0.075696699
