,const,beta_market,beta_SMB,beta_HML,beta_RMW,beta_CMA,t_const,t_beta_market,t_beta_SMB,t_beta_HML,t_beta_RMW,t_beta_CMA,,,,const,,,,,,t_const,,
23,-0.000912565,-0.029832124,0.04772338,0.460468827,-0.207332169,0.456532951,-0.028137579,-0.117871729,0.116137165,0.986901775,-0.240562744,0.679222236,,,,beta_RMW,,,,,,t_beta_RMW,,
24,0.020537386,0.108029798,0.199132667,1.170831631,-0.232181839,0.85941455,0.546653413,0.368479381,0.418337399,2.166268559,-0.232559497,1.103790425,,0.154925071,-0.395984557,-0.100721716,-1.027342274,0.478102761,,0.108998665,-0.342890411,-0.090115672,-1.059633391,0.430693082
,,,,,,,,,,,,,,-0.318861228,-0.245849117,-0.245166336,-0.125439512,0.516872627,,-0.231306599,-0.204756228,-0.209256711,-0.139861146,0.591165763
,,,,,,,,,,,,,,0.049452934,-0.411616433,0.092304312,-0.608326016,-0.159339899,,0.036523186,-0.380602209,0.095196831,-0.664279646,-0.18944825
,,,,,,,,,,,,,,-0.234323243,-0.168009167,-0.08546259,-0.351461777,-0.207332169,,-0.17817135,-0.172697995,-0.084541481,-0.367840239,-0.240562744
,,,,,,,,,,,,,,0.619714185,-0.273541704,-0.101993347,-0.337893331,-0.232181839,,0.508097237,-0.246251935,-0.102115587,-0.376952969,-0.232559497
,,,,,,,,,,,,,,,,beta_CMA,,,,,,t_beta_CMA,,
,,,,,,,,,,,,,,0.965710906,0.916450545,0.694411478,1.512023615,-0.575946775,,0.871213705,1.017569808,0.796658496,1.999756601,-0.665284008
,,,,,,,,,,,,,,1.273800359,0.987677036,0.824563461,0.627353502,-0.08479843,,1.184856526,1.054779095,0.902444978,0.896918829,-0.124363129
,,,,,,,,,,,,,,0.52192486,0.945071804,0.768030865,0.996168781,0.490994333,,0.494268192,1.120524855,1.015680859,1.394843784,0.748549678
,,,,,,,,,,,,,,0.706040244,0.832037874,0.833120832,0.856369361,0.456532951,,0.688382854,1.096668834,1.056768571,1.149265437,0.679222236
,,,,,,,,,,,,,,0.698099102,0.87891833,0.592915801,1.054053231,0.85941455,,0.733923113,1.01457163,0.761186907,1.50781542,1.103790425
