date,factor,pair,ret
201611,OP,AD,0.186874021
201612,OP,AD,-0.101547491
20171,OP,AD,-0.015367834
20172,OP,AD,0.132988418
20173,OP,AD,-0.026890335
20174,OP,AD,-0.10849776
20175,OP,AD,-0.10270073
20176,OP,AD,0.013505263
20177,OP,AD,-0.036068325
20178,OP,AD,0.041512735
20179,OP,AD,-0.004287387
201710,OP,AD,-0.018250131
201711,OP,AD,-0.108577803
201712,OP,AD,-0.034173135
20181,OP,AD,-0.029353249
20182,OP,AD,-0.060798517
20183,OP,AD,0.079153862
20184,OP,AD,-0.049273582
20185,OP,AD,0.03568492
20186,OP,AD,-0.132840056
20187,OP,AD,-0.00321106
20167,OP,AE,0.017927765
20168,OP,AE,0.059353438
20169,OP,AE,0.034053716
201610,OP,AE,0.083068841
201611,OP,AE,0.027628304
201612,OP,AE,0.014333864
20171,OP,AE,-0.044881653
20172,OP,AE,0.09067733
20173,OP,AE,-0.039798837
20174,OP,AE,-0.078722253
20175,OP,AE,-0.080207556
20176,OP,AE,0.053485
20177,OP,AE,-0.023885186
20178,OP,AE,0.021692156
20179,OP,AE,0.023429479
201710,OP,AE,-0.008631895
201711,OP,AE,-0.099682949
201712,OP,AE,-0.032368119
20181,OP,AE,-0.053272728
20182,OP,AE,-0.046765389
20183,OP,AE,0.024233832
20184,OP,AE,-0.081590792
20185,OP,AE,-0.026903355
20186,OP,AE,-0.109361602
20187,OP,AE,-0.0129135
20167,INV,AA,0.00128002
20168,INV,AA,0.052189232
20169,INV,AA,0.03707571
201610,INV,AA,0.032018007
201611,INV,AA,0.033121299
201612,INV,AA,-0.017240308
20171,INV,AA,-0.028412437
20172,INV,AA,0.040485992
20173,INV,AA,-0.041775608
20174,INV,AA,-0.109271278
20175,INV,AA,-0.090237935
20176,INV,AA,0.036929239
20177,INV,AA,-0.021436942
20178,INV,AA,0.020232166
20179,INV,AA,0.004304628
201710,INV,AA,-0.042481586
201711,INV,AA,-0.094999757
201712,INV,AA,-0.042693001
20181,INV,AA,-0.076021793
20182,INV,AA,-0.06475446
20183,INV,AA,0.044926883
20184,INV,AA,-0.089480161
20185,INV,AA,-0.044920218
20186,INV,AA,-0.133003609
20187,INV,AA,0.009059667
20167,INV,AB,-0.021900831
20168,INV,AB,0.060939306
20169,INV,AB,0.051659576
201610,INV,AB,0.065764934
201611,INV,AB,0.081664318
201612,INV,AB,-0.008649122
20171,INV,AB,-0.056084265
20172,INV,AB,0.035237943
20173,INV,AB,-0.049862175
20174,INV,AB,-0.102769366
20175,INV,AB,-0.089337245
20176,INV,AB,0.025572531
20177,INV,AB,-0.027952069
20178,INV,AB,0.041167218
20179,INV,AB,0.004563708
201710,INV,AB,-0.024815196
201711,INV,AB,-0.085413361
201712,INV,AB,-0.035833696
20181,INV,AB,-0.051409783
20182,INV,AB,-0.085210786
20183,INV,AB,0.083739765
20184,INV,AB,-0.068995605
20185,INV,AB,-0.022512099
20186,INV,AB,-0.141335982
20187,INV,AB,0.022362337
20167,INV,AC,0.009333817
20168,INV,AC,0.044976403
20169,INV,AC,-0.001930566
201610,INV,AC,0.074858265
201611,INV,AC,0.069090491
201612,INV,AC,-0.018033641
20171,INV,AC,-0.056004719
20172,INV,AC,0.044847657
20173,INV,AC,-0.053380881
20174,INV,AC,-0.100985818
20175,INV,AC,-0.077787982
20176,INV,AC,0.011135868
20177,INV,AC,-0.050599036
20178,INV,AC,0.029514579
20179,INV,AC,0.005445043
201710,INV,AC,-0.028802885
201711,INV,AC,-0.104091185
201712,INV,AC,-0.042247957
20181,INV,AC,-0.050319569
20182,INV,AC,-0.074405976
20183,INV,AC,0.054893469
20184,INV,AC,-0.039228145
20185,INV,AC,0.01872461
20186,INV,AC,-0.101427903
20187,INV,AC,-0.019279127
20167,INV,AD,0.042182149
20168,INV,AD,0.151496516
20169,INV,AD,0.028028597
201610,INV,AD,0.060383423
201611,INV,AD,0.048661886
201612,INV,AD,-0.012291314
20171,INV,AD,-0.028248316
20172,INV,AD,0.058396504
20173,INV,AD,-0.009886888
