,label,R
0,2012_20107_BM_AA,0.1599834175716804
1,2012_20108_BM_AA,0.09164716397317296
2,2012_20109_BM_AA,0.005807365965224815
3,2012_201010_BM_AA,0.05568932591124618
4,2012_201011_BM_AA,0.007574729827778365
5,2012_201012_BM_AA,-0.026735775503998232
6,2012_20111_BM_AA,-0.03308918682592673
7,2012_20112_BM_AA,0.09747788557445936
8,2012_20113_BM_AA,0.01758419927248914
9,2012_20114_BM_AA,-0.019700112008634526
10,2012_20115_BM_AA,-0.0846336756758555
11,2012_20116_BM_AA,0.054536896819051925
12,2012_20117_BM_AA,0.015084101937024471
13,2012_20118_BM_AA,-0.007330378980866754
14,2012_20119_BM_AA,-0.08534308452419992
15,2012_201110_BM_AA,0.007125624749938116
16,2012_201111_BM_AA,-0.023184589291135264
17,2012_201112_BM_AA,-0.23392110919129336
18,2012_20121_BM_AA,0.04427617520288323
19,2012_20122_BM_AA,0.13872198759248452
20,2012_20123_BM_AA,-0.04919106777823481
21,2012_20124_BM_AA,0.04502796031259493
22,2012_20125_BM_AA,0.009704418468833255
23,2012_20126_BM_AA,-0.031267230085317725
24,2012_20127_BM_AA,-0.1304568730499342
25,2012_20107_BM_AB,0.1322374411429145
26,2012_20108_BM_AB,0.14359135878807272
27,2012_20109_BM_AB,0.01889709476528021
28,2012_201010_BM_AB,0.07332968481792376
29,2012_201011_BM_AB,0.03523815993838268
30,2012_201012_BM_AB,-0.021815976743110466
31,2012_20111_BM_AB,-0.09002574781504087
32,2012_20112_BM_AB,0.11785942675495392
33,2012_20113_BM_AB,0.00701514798740784
34,2012_20114_BM_AB,-0.03818573343387129
35,2012_20115_BM_AB,-0.07938005358767619
36,2012_20116_BM_AB,0.057711461008545246
37,2012_20117_BM_AB,0.005060821037742467
38,2012_20118_BM_AB,-0.03544523313982782
39,2012_20119_BM_AB,-0.09789074697745871
40,2012_201110_BM_AB,0.02450059022287665
41,2012_201111_BM_AB,-0.05427137429143737
42,2012_201112_BM_AB,-0.18100342702487385
43,2012_20121_BM_AB,0.016896888756047546
44,2012_20122_BM_AB,0.14534003370924872
45,2012_20123_BM_AB,-0.08340781781192773
46,2012_20124_BM_AB,0.06414698048915816
47,2012_20125_BM_AB,-0.006372393240404173
48,2012_20126_BM_AB,-0.061007787824316484
49,2012_20127_BM_AB,-0.12211589121347999
50,2012_20107_BM_AC,0.1444531841995721
51,2012_20108_BM_AC,0.11185648079552234
52,2012_20109_BM_AC,-0.030136385579436487
53,2012_201010_BM_AC,0.05823130156218364
54,2012_201011_BM_AC,0.0643916495604006
55,2012_201012_BM_AC,-0.010834046497062941
56,2012_20111_BM_AC,-0.0478153485361502
57,2012_20112_BM_AC,0.0979356459893152
58,2012_20113_BM_AC,-0.01540044915646582
59,2012_20114_BM_AC,-0.027642729258307873
60,2012_20115_BM_AC,-0.06761606207973805
61,2012_20116_BM_AC,0.04707947284937527
62,2012_20117_BM_AC,0.03279063681082247
63,2012_20118_BM_AC,-0.016191288806124006
64,2012_20119_BM_AC,-0.11094528372716805
65,2012_201110_BM_AC,0.02623186379447944
66,2012_201111_BM_AC,-0.04685438737294997
67,2012_201112_BM_AC,-0.19219132526750685
68,2012_20121_BM_AC,-0.0038770376499945055
69,2012_20122_BM_AC,0.15726118554617544
70,2012_20123_BM_AC,-0.07861127676000958
