,rm-rf,SMB,HML,RMW,CMA
count,25.0,25.0,25.0,25.0,25.0
mean,-0.20222364000000007,0.004571638754925323,-0.013073398680851382,-0.009757273129685207,0.005074879255564757
std,0.07202402456928292,0.0720267316516819,0.06663858996878287,0.043457534460873554,0.01930820837928404
min,-0.314657,-0.251176591499243,-0.1553448687247919,-0.1095369290323158,-0.0457633493568536
25%,-0.251869,-0.012257439605944,-0.0414883466422519,-0.0255016290202845,-0.0045512144518704
50%,-0.222139,0.0155566263743938,-0.0230132542616884,-0.0121094984057179,0.006527507514751
75%,-0.169363,0.0397392496878271,0.011790133497775,0.0081731332159438,0.0157427436451291
max,-0.0276599999999999,0.1577855843736865,0.1856412308666943,0.0985878275783743,0.0420520672102757
