,rm-rf,SMB,HML,RMW,CMA
count,25.0,25.0,25.0,25.0,25.0
mean,-0.12419544,-0.019416490811404202,-0.01146537724392621,0.01107975052032071,0.011050912428989312
std,0.05052328928497563,0.038150497489974525,0.029326864756430277,0.04357317780995522,0.021440959615082543
min,-0.209955,-0.0779244106959813,-0.0649551215528547,-0.14892046997086,-0.0378610356867372
25%,-0.156908,-0.0439758079593851,-0.0265999116143754,-0.0025394755492042,-0.001048135399336
50%,-0.119823,-0.0298383816376117,-0.0077494554567656,0.0159183839693966,0.0121965032123118
75%,-0.095344,-0.004586266117157,0.0068910339859232,0.0324964259356085,0.0215584636749165
max,0.024608,0.0598000195612955,0.0531016004466219,0.0742551736201657,0.0571083027737074
