,rm-rf,SMB,HML,RMW,CMA
count,25.0,25.0,25.0,25.0,25.0
mean,-0.11249492,-0.012402113443900043,-0.023039393857376952,0.008808143996570664,0.011473812186248855
std,0.055386836207502094,0.030234070891073155,0.030450826456639293,0.032583999813958764,0.019576177579684998
min,-0.209955,-0.072929653370944,-0.0784582003922872,-0.1018986725868045,-0.0449833102431038
25%,-0.141063,-0.0300325963440644,-0.0406937892089763,-0.0037934938084083,-0.0012523181937635
50%,-0.119209,-0.0129233246735669,-0.0189275602472054,0.0144672053234845,0.007321424542194
75%,-0.087417,0.0022504830479378,-0.0050415932946438,0.0268366562043465,0.0237222998726274
max,0.024608,0.0534555525974376,0.0336774239004867,0.0691585943627434,0.0482951465220022
