,rm-rf,SMB,HML,RMW,CMA
count,25.0,25.0,25.0,25.0,25.0
mean,-0.11412652,-0.015006636418475536,-0.025534205839520725,0.00688221352264865,0.012234863299368572
std,0.04161687315172376,0.03264120898776724,0.037302873130057236,0.03438298932580287,0.027493963707205606
min,-0.181134,-0.0943781288624543,-0.1022169820024642,-0.0946737000309768,-0.0423516444801259
25%,-0.139782,-0.0321678489668123,-0.054167758867956,-0.0085360337850861,-0.0039976568065584
50%,-0.118716,-0.0151203862155609,-0.0199952320573617,0.0070555123770372,0.0211101337347789
75%,-0.094937,0.0014295948331526,-0.0067242118795048,0.033802867475104,0.0299032246526098
max,0.0057289999999999,0.0537519551236886,0.0609369379001211,0.0553454610768535,0.0568053832815625
