,rm-rf,SMB,HML,RMW,CMA
count,25.0,25.0,25.0,25.0,25.0
mean,-0.15452896000000002,0.008359711330795733,-0.023182535350374442,-0.0016299131384052159,0.01871368698042549
std,0.095479611276649,0.07748509264741439,0.08317912944719243,0.037012693769094676,0.0324152644828066
min,-0.36867,-0.2346227894829949,-0.2795562847381441,-0.0724563476122252,-0.0521723585133472
25%,-0.218474,-0.0209167967701488,-0.0524690191292559,-0.0192107801977916,-0.0028935102420374
50%,-0.143688,0.0003324755766044,-0.0199426073206142,-0.0068000343031701,0.0178929389926476
75%,-0.092226,0.0498635637138681,0.0125163019754852,0.0139330365575653,0.0370887163984394
max,0.0111099999999999,0.181323696150952,0.2054350400020528,0.0749363637303986,0.1078942742586245
