,rm-rf,SMB,HML,RMW,CMA
count,25.0,25.0,25.0,25.0,25.0
mean,-0.2538790000000001,-0.0034068316499891713,-0.013915554108172723,0.010637910613674285,0.008489839279269946
std,0.08316366724668094,0.040173739080145814,0.035300579274647394,0.019873084853685916,0.015573260070249922
min,-0.374919,-0.1048782090506292,-0.107063213774693,-0.0250588645170412,-0.0176614352293078
25%,-0.326836,-0.0290451866514151,-0.0318787321827579,-0.0059732060891655,-0.0017399190057809
50%,-0.250656,-0.0045777630134157,-0.0078029223332816,0.0094431252372561,0.0063432660748675
75%,-0.216967,0.0172793809065406,0.0073806031914256,0.0218575469115452,0.0194564349214126
max,-0.0632169999999999,0.0628730413842104,0.0579565919795604,0.0700530411101268,0.0464558492993125
