,rm-rf,SMB,HML,RMW,CMA
count,25.0,25.0,25.0,25.0,25.0
mean,-0.27480336,-0.002570995168752484,-0.007833382193250684,0.014431487262658103,0.01146810335444062
std,0.06854246398029472,0.03774118234514332,0.02728136135130629,0.025901317736472987,0.013188139719443917
min,-0.382552,-0.1059860467989901,-0.044073486930582,-0.0312213747578028,-0.0168150691576369
25%,-0.333903,-0.0265948819389535,-0.0316470025404376,-0.0036865409840113,0.0045690273320401
50%,-0.271489,0.0042400965839499,-0.0158469833529887,0.0046596001496437,0.0077150258530685
75%,-0.226986,0.0234487634891691,0.0109457435364505,0.0310575873398531,0.0224974931229093
max,-0.096453,0.0641814917934149,0.0670915875655485,0.0737252464042515,0.0381591289314038
