,rm-rf,SMB,HML,RMW,CMA
count,25.0,25.0,25.0,25.0,25.0
mean,-0.13395807999999998,-0.0032950981684257293,-0.008566539684030833,0.007223574224307891,0.011185220277475531
std,0.08616144133636576,0.05163143904408349,0.0295048612794998,0.030031509872745814,0.021850548306165923
min,-0.36867,-0.0797715233796563,-0.0796237431979446,-0.0509822632934487,-0.0374623843588751
25%,-0.143688,-0.0372423509517697,-0.0241686998444913,-0.005402170332255,-0.0045194572507325
50%,-0.110042,0.0014092416261467,-0.0086129185296529,0.0057279554428491,0.0173390500131853
75%,-0.0895519999999999,0.0200755337304501,0.0155259550594807,0.0258575807116803,0.0261147957380367
max,0.0111099999999999,0.1179217679724439,0.040267766707438,0.0743534458473223,0.053545940329037
