,rm-rf,SMB,HML,RMW,CMA
count,25.0,25.0,25.0,25.0,25.0
mean,-0.12222807999999999,-0.023212627612600317,-0.006973096658454728,0.015621472055954664,0.010566059789064452
std,0.03342625273134876,0.03708143213508063,0.025172091591819597,0.020249403256921397,0.020748650944458852
min,-0.202077,-0.0924494440474865,-0.0470931194955544,-0.0304586330527588,-0.0297603625639438
25%,-0.145756,-0.0519605743087335,-0.0247023535774284,0.0042222485948841,-0.0013774810734753
50%,-0.117718,-0.0259121326727481,-0.003193065386414,0.0133546329379084,0.0103431898335678
75%,-0.097929,0.0030592268621721,0.0088930680930868,0.0273566680608081,0.0248504677246741
max,-0.079085,0.061093743386164,0.0450787669025519,0.0534095494755059,0.051259776179684
