,Stkcd,Size,BM,OP,INV
0,1,E,E,E,D
1,2,E,E,E,E
2,4,A,A,E,A
3,5,B,A,D,D
4,6,D,D,E,B
5,7,C,A,E,C
6,8,E,B,D,E
7,9,E,D,C,D
8,10,A,D,B,A
9,11,A,E,E,E
10,12,D,D,D,C
11,14,B,B,B,A
12,16,D,E,A,D
13,17,A,A,E,D
14,18,C,D,E,E
15,19,B,A,D,C
16,21,D,C,C,A
17,22,D,C,D,A
18,23,B,A,B,A
19,25,D,A,B,B
20,26,B,C,C,A
21,27,E,E,C,B
22,28,E,D,E,E
23,30,D,C,D,C
24,31,D,E,E,C
25,34,C,E,E,E
26,35,C,D,D,E
27,36,E,D,E,E
28,37,A,D,E,A
29,39,E,E,B,D
30,40,C,E,B,E
31,43,C,E,C,A
32,45,B,B,A,E
33,46,E,E,E,E
34,49,D,B,E,E
35,55,B,D,E,E
36,56,B,E,B,E
37,58,B,B,D,A
38,59,E,E,E,B
39,60,E,C,B,C
40,62,E,A,D,C
41,63,E,E,B,D
42,65,D,D,E,E
43,66,E,E,B,B
44,68,C,A,B,E
45,69,E,E,E,D
46,70,C,C,D,D
47,78,D,D,D,D
48,88,E,B,C,B
49,89,E,C,C,B
50,90,D,E,D,D
51,96,C,A,E,C
52,100,E,E,A,D
53,150,D,C,E,E
54,151,B,B,D,A
55,153,A,B,C,C
56,156,D,C,C,C
57,157,E,E,A,A
58,158,D,D,A,D
59,159,A,C,B,B
60,166,E,E,D,A
61,333,E,C,E,E
62,338,E,E,D,E
63,400,E,D,D,D
64,401,E,E,A,B
65,402,E,E,D,C
66,404,C,D,D,D
67,407,C,C,A,B
68,408,B,E,E,E
69,409,A,D,A,C
70,410,C,E,A,C
71,411,B,D,E,D
72,413,E,D,C,E
73,415,E,E,C,E
74,416,B,A,B,A
75,417,C,D,D,C
76,418,E,D,E,E
77,419,B,C,C,B
78,420,B,E,A,E
79,421,A,E,C,B
80,422,C,E,A,B
81,423,E,A,E,D
82,425,E,E,A,B
83,426,D,C,B,E
84,428,B,D,A,A
85,429,B,E,E,E
86,430,A,C,D,E
87,488,E,E,D,B
88,498,A,E,E,E
89,501,D,D,E,B
90,502,A,A,E,E
91,504,C,A,E,E
92,505,B,A,E,A
93,507,D,D,B,B
94,509,B,A,A,A
95,510,C,A,C,A
96,513,E,C,D,D
97,514,C,B,B,A
98,517,D,C,C,E
99,518,D,A,A,D
100,519,C,D,B,E
101,520,C,A,C,B
102,521,B,E,B,E
103,523,B,C,B,D
104,524,A,A,C,B
105,525,D,D,B,D
106,526,A,C,A,E
107,528,D,E,A,B
108,529,B,A,D,C
109,530,B,D,C,D
110,531,C,D,E,C
111,532,B,A,C,E
112,533,C,B,E,A
113,534,C,A,C,A
114,536,C,E,B,E
115,537,B,E,E,E
116,538,E,A,E,D
117,539,D,E,C,A
118,540,E,E,E,D
119,541,D,C,E,B
120,543,D,E,D,D
121,544,C,D,B,E
122,545,C,B,C,C
123,546,B,D,E,D
124,547,D,B,C,B
125,548,B,B,A,D
126,550,D,D,C,D
127,551,B,D,B,D
128,552,C,D,B,A
129,553,C,B,A,B
130,554,A,A,B,B
131,555,D,B,C,D
132,559,E,A,E,A
133,561,C,A,C,B
134,563,E,B,D,C
135,564,B,E,B,E
136,565,B,A,E,D
137,566,D,C,B,E
138,567,B,A,A,E
139,568,E,A,E,B
140,570,A,D,B,D
141,572,D,E,A,B
142,573,B,B,D,A
143,576,C,A,A,A
144,581,E,C,D,C
145,582,A,E,C,A
146,585,A,A,A,A
147,586,B,A,A,B
148,587,D,E,E,E
149,589,B,E,A,A
150,590,B,A,C,C
151,591,D,E,C,D
152,592,D,A,A,C
153,593,A,B,A,E
154,595,A,A,A,A
155,596,E,B,E,D
156,597,C,E,A,C
157,598,E,D,D,D
158,599,B,D,B,D
159,600,D,E,E,C
160,601,C,D,D,B
161,603,C,B,E,E
162,605,B,D,C,E
163,607,B,B,E,D
164,608,C,D,A,A
165,609,B,B,C,C
166,610,A,B,A,D
167,611,A,A,A,B
168,612,D,B,C,A
169,615,B,E,D,A
170,616,C,D,A,B
171,617,B,E,D,E
172,619,B,C,B,A
173,620,D,E,D,D
174,622,A,A,E,E
175,623,E,C,C,B
176,625,E,E,E,D
177,626,C,D,E,E
178,627,D,E,E,E
179,628,A,D,B,A
180,630,E,D,B,B
181,631,D,D,D,E
182,632,A,E,B,A
183,633,B,A,E,E
184,635,C,A,B,B
185,636,C,C,B,B
186,637,A,B,D,B
187,638,B,A,B,A
188,639,C,D,C,E
189,650,C,B,E,D
190,651,E,D,E,C
191,652,C,E,D,C
192,655,C,B,A,A
193,656,E,E,D,D
194,657,B,E,A,B
195,659,C,A,A,A
196,661,E,A,E,E
197,663,A,D,C,C
198,665,C,D,C,C
199,666,C,E,E,D
200,667,D,E,E,B
201,668,A,B,A,E
202,669,D,D,C,E
203,671,E,E,D,E
204,672,D,C,D,D
205,676,B,D,C,E
206,677,B,A,B,B
207,678,B,B,A,C
208,679,A,D,B,A
209,680,C,D,A,A
210,681,B,D,D,D
211,683,C,E,A,D
212,685,D,D,D,C
213,686,E,E,D,B
214,687,C,B,D,E
215,688,D,A,E,B
216,691,A,A,B,D
217,692,B,D,A,D
218,695,A,A,A,B
219,698,A,E,A,C
220,701,B,E,B,C
221,702,A,A,A,B
222,703,E,D,C,C
223,705,A,B,B,B
224,707,B,E,A,A
225,708,C,C,D,C
226,709,E,E,B,B
227,710,D,A,A,C
228,712,E,D,D,E
