,Stkcd,Size,BM,OP,INV
982,2567,B,C,D,D
983,2568,A,A,D,B
984,2569,A,D,D,B
985,2570,E,B,E,C
986,2571,C,B,D,D
987,2572,B,C,D,D
988,2573,D,B,C,B
989,2574,A,E,B,D
990,2575,A,D,B,D
991,2576,A,D,A,A
992,2577,A,D,C,A
993,2578,A,D,B,C
994,2579,A,D,B,A
995,2580,A,E,C,E
996,2581,A,B,D,B
997,2582,A,D,C,A
998,2583,B,D,A,C
999,2584,A,D,C,D
1000,2585,A,E,B,A
1001,2586,A,D,D,D
1002,2587,A,B,D,C
1003,2588,B,D,E,D
1004,2589,B,D,E,E
1005,2590,A,E,B,A
1006,2591,A,E,B,C
1007,2592,A,D,D,C
1008,2593,A,E,B,B
1009,2594,E,E,A,B
1010,2595,C,C,D,B
1011,2596,A,C,D,E
1012,2597,A,E,C,B
1013,2598,A,B,D,B
1014,2599,A,D,C,B
1015,2600,A,D,B,B
1016,2601,B,C,D,C
1017,2602,A,D,C,C
1018,2603,C,D,B,A
1019,2604,C,C,B,D
1020,2605,A,C,E,C
1021,2606,A,D,B,B
1022,2607,A,E,C,E
1023,2608,A,E,B,E
1024,2609,A,D,D,C
1025,2610,A,E,A,E
1026,2611,A,C,D,C
1027,2612,A,D,D,C
1028,2613,A,E,B,A
1029,2614,A,E,B,B
1030,2615,A,D,C,B
1031,2616,A,E,B,C
1032,2617,A,E,C,D
1033,2618,B,C,C,D
1034,2619,A,D,B,C
1035,2620,A,D,D,C
1036,2621,A,D,C,B
1037,2622,A,E,B,A
1038,2623,A,C,B,B
1039,2624,A,C,C,B
1040,2625,A,C,D,C
1041,2626,A,B,D,A
1042,2627,A,D,D,D
1043,2628,B,E,E,E
1044,2629,A,B,D,A
1045,2630,C,E,C,D
1046,2631,A,D,C,A
1047,2632,A,D,B,B
1048,2633,A,D,B,B
1049,2634,A,D,C,A
1050,2635,D,B,E,D
1051,2636,A,E,B,B
1052,2637,A,D,B,D
1053,2638,C,C,C,E
1054,2640,A,E,D,C
1055,2641,A,D,E,D
1056,2642,B,D,D,C
1057,2643,C,B,D,A
1058,2644,A,D,B,A
1059,2645,A,D,C,A
1060,2646,D,B,E,D
1061,2647,A,E,B,E
1062,2648,B,D,E,A
1063,2649,A,D,C,E
1064,2650,B,B,D,A
1065,2651,A,E,E,C
1066,2652,A,D,C,D
1067,2653,D,B,E,E
1068,2654,A,D,C,E
1069,2655,B,D,C,E
1070,600000,E,E,E,D
1071,600004,E,C,E,A
1072,600005,E,E,A,B
1073,600006,D,E,A,A
1074,600007,E,B,D,A
1075,600008,E,D,C,D
1076,600009,E,C,D,B
1077,600010,E,D,B,E
1078,600011,E,E,D,B
1079,600012,D,D,E,C
1080,600015,E,E,E,D
1081,600016,E,E,E,E
1082,600017,D,D,D,E
1083,600018,E,C,D,B
1084,600019,E,D,B,A
1085,600020,D,E,D,B
1086,600021,E,E,D,A
1087,600022,E,E,A,E
1088,600026,E,E,A,C
1089,600027,E,E,C,C
1090,600028,E,D,E,C
1091,600029,E,E,C,C
1092,600030,E,C,C,D
1093,600031,E,B,E,E
1094,600033,C,E,D,A
1095,600035,C,E,C,D
1096,600036,E,E,E,D
1097,600037,E,C,A,A
1098,600038,E,B,C,E
1099,600039,C,E,E,E
1100,600048,E,E,E,E
1101,600050,E,E,B,C
1102,600051,B,E,A,D
1103,600052,C,E,B,C
1104,600053,C,B,B,C
1105,600054,A,D,E,C
1106,600055,C,A,B,C
1107,600056,E,C,E,E
1108,600057,B,E,C,A
1109,600058,E,D,A,A
1110,600059,E,A,C,D
1111,600060,E,C,E,C
1112,600061,B,B,A,E
1113,600062,E,A,E,C
1114,600063,C,C,A,C
1115,600064,D,E,D,C
1116,600066,E,B,E,E
1117,600067,E,D,E,E
1118,600068,E,E,D,D
1119,600069,D,C,A,D
1120,600070,A,C,D,C
1121,600071,B,B,A,A
1122,600072,D,A,A,B
1123,600073,D,C,C,D
1124,600075,C,C,A,B
1125,600076,B,A,A,D
1126,600077,C,E,E,A
1127,600078,D,B,B,A
1128,600079,E,B,E,E
1129,600080,C,A,B,B
1130,600081,B,B,E,A
1131,600082,C,B,B,A
1132,600083,B,A,A,D
1133,600084,C,B,A,B
1134,600085,E,A,E,E
1135,600086,E,B,E,E
1136,600089,E,D,B,E
1137,600090,C,A,E,B
1138,600091,A,B,A,A
1139,600093,B,A,D,C
1140,600094,A,E,D,E
1141,600095,B,B,B,D
1142,600096,D,E,A,B
1143,600097,A,B,A,A
1144,600098,E,D,D,E
1145,600099,A,A,A,A
1146,600100,E,D,C,C
1147,600101,C,B,C,B
1148,600103,C,C,A,A
1149,600104,E,D,E,A
1150,600105,B,D,A,B
1151,600106,C,C,D,A
1152,600107,C,B,C,D
1153,600108,E,A,C,E
1154,600109,E,B,C,E
1155,600111,E,A,E,D
1156,600112,D,A,A,D
1157,600113,C,A,C,B
1158,600114,A,D,C,C
1159,600115,E,E,B,C
1160,600116,C,B,B,C
1161,600117,C,E,B,C
1162,600118,E,A,D,D
1163,600119,C,B,B,D
1164,600120,D,D,E,E
1165,600121,C,D,E,E
1166,600122,D,E,C,D
1167,600123,E,B,E,E
1168,600125,E,A,D,D
1169,600126,C,E,A,A
1170,600128,C,C,C,A
1171,600129,D,E,A,B
1172,600130,C,A,C,B
1173,600131,B,B,C,A
1174,600132,E,A,C,E
1175,600133,B,E,C,E
1176,600135,C,A,B,B
1177,600136,A,A,C,C
1178,600137,A,B,B,A
1179,600138,D,C,E,A
1180,600139,D,A,D,C
1181,600141,D,D,C,E
1182,600143,E,B,D,E
