,Stkcd,Size,BM,OP,INV
0,1,E,E,D,C
1,2,E,E,E,E
2,4,A,A,A,E
3,5,B,B,D,C
4,6,D,D,E,B
5,7,B,A,A,E
6,8,D,B,B,B
7,9,E,E,D,D
8,10,A,D,A,C
9,11,C,E,E,C
10,12,D,D,B,B
11,14,A,B,A,E
12,16,D,E,A,E
13,17,A,A,A,B
14,18,A,E,A,A
15,19,B,D,C,E
16,20,A,A,A,B
17,21,E,C,D,A
18,23,A,C,D,D
19,25,D,A,C,D
20,26,B,C,C,B
21,27,E,E,B,D
22,28,E,D,D,E
23,30,D,C,D,D
24,31,E,E,E,E
25,32,C,A,C,D
26,34,D,E,E,C
27,35,D,C,C,C
28,36,D,C,E,E
29,37,C,D,A,D
30,38,A,C,A,A
31,39,E,E,D,E
32,40,D,E,C,D
33,42,D,E,D,C
34,43,D,D,E,A
35,45,B,D,A,D
36,46,E,E,A,D
37,48,D,A,E,E
38,49,D,C,E,D
39,50,E,E,B,E
40,55,C,D,E,E
41,56,C,E,B,A
42,58,B,D,C,B
43,59,D,E,C,C
44,60,E,C,D,B
45,61,D,D,B,B
46,62,E,B,E,E
47,63,E,C,A,A
48,65,C,D,E,B
49,66,E,B,E,C
50,68,C,B,A,E
51,69,E,E,E,E
52,70,D,C,E,E
53,78,D,E,D,E
54,88,D,B,C,D
55,89,E,B,C,B
56,90,D,E,D,E
57,96,C,A,B,B
58,99,C,C,B,B
59,100,E,E,C,E
60,150,C,B,C,C
61,151,B,B,D,B
62,153,A,D,C,C
63,155,C,D,C,C
64,156,E,C,C,B
65,157,E,E,C,D
66,158,D,C,B,D
67,159,B,C,B,A
68,166,E,E,C,D
69,301,D,E,C,E
70,333,E,B,E,C
71,338,E,E,E,C
72,400,D,C,B,A
73,401,E,E,D,E
74,402,E,E,D,D
75,403,D,A,E,B
76,404,B,E,B,B
77,407,B,D,C,E
78,408,C,D,D,E
79,409,A,D,C,A
80,410,C,E,A,A
81,411,B,E,D,B
82,413,E,E,C,C
83,415,E,E,B,A
84,416,C,A,B,A
85,417,C,E,D,C
86,419,B,D,C,D
87,420,C,D,B,D
88,421,B,E,C,C
89,422,B,E,E,A
90,423,E,A,E,D
91,425,E,D,C,E
92,426,D,B,B,A
93,428,B,D,A,A
94,429,D,E,E,B
95,430,A,C,B,C
96,488,D,E,D,B
97,498,D,E,D,E
98,501,D,E,E,E
99,502,A,A,E,A
100,503,E,A,A,A
101,504,B,A,A,A
102,505,B,D,C,A
103,506,B,B,A,B
104,507,C,C,C,D
105,509,B,A,A,A
106,510,B,A,D,B
107,513,E,C,D,C
108,514,C,D,A,C
109,516,D,B,E,E
110,517,D,E,D,E
111,518,C,A,A,B
112,519,D,D,B,C
113,520,C,A,E,E
114,521,B,E,A,A
115,523,B,D,A,E
116,524,B,D,D,B
117,525,D,D,E,C
118,526,B,D,E,B
119,528,D,D,D,E
120,529,C,B,E,B
121,530,B,D,B,B
122,531,C,D,C,D
123,532,C,B,D,D
124,533,A,C,A,A
125,534,C,A,B,C
126,536,D,E,A,A
127,537,B,E,E,C
128,538,E,A,E,C
129,539,D,E,B,B
130,540,E,E,C,A
131,541,D,B,D,B
132,543,D,E,B,C
133,544,C,E,C,E
134,545,C,B,B,D
135,546,D,C,D,C
136,547,D,B,C,E
137,548,B,B,B,B
138,550,D,D,A,A
139,551,B,D,C,B
140,552,D,D,C,B
141,553,C,E,D,C
142,554,B,A,A,C
143,555,D,C,A,B
144,557,B,D,B,D
145,558,C,A,A,C
146,559,E,B,D,C
147,560,D,E,D,C
148,561,C,B,C,C
149,563,E,B,B,E
150,564,C,E,B,B
151,565,B,A,B,A
152,566,D,D,B,B
153,567,B,E,B,E
154,568,E,A,E,D
155,570,A,D,B,A
156,571,A,D,A,A
157,572,B,E,A,A
158,573,A,C,B,D
159,576,C,A,C,E
160,581,E,C,E,B
161,582,B,E,C,E
162,584,C,C,D,E
163,585,A,A,E,E
164,586,B,A,A,C
165,587,B,E,A,A
166,589,C,E,B,C
167,590,B,A,A,A
168,591,D,E,C,C
169,592,D,A,B,B
170,593,B,B,A,A
171,595,B,B,A,A
172,596,E,A,E,E
173,597,D,D,B,D
174,598,E,C,D,D
175,599,C,E,A,C
176,600,D,E,C,B
177,601,D,D,C,C
178,603,D,B,E,A
179,605,B,D,B,D
180,606,C,C,C,C
181,607,C,B,C,B
182,608,C,C,B,A
183,609,A,D,A,E
