,Stkcd,Size,BM,OP,INV
0,1,E,E,E,D
1,2,E,E,E,B
2,4,A,A,B,E
3,6,D,D,E,D
4,8,C,A,B,C
5,9,D,C,D,C
6,11,A,E,E,B
7,12,D,D,D,B
8,14,A,C,D,D
9,17,A,A,A,A
10,18,A,A,B,C
11,19,A,B,B,A
12,21,E,D,C,B
13,23,A,B,C,C
14,25,C,A,C,D
15,26,B,C,D,B
16,27,D,E,D,D
17,28,D,D,E,D
18,29,C,C,E,B
19,30,C,D,D,B
20,31,E,E,D,D
21,32,B,C,C,E
22,36,C,C,B,C
23,37,A,D,A,A
24,39,E,E,D,D
25,40,B,D,C,C
26,42,D,E,E,E
27,43,C,E,E,C
28,45,B,B,A,A
29,46,E,D,E,E
30,48,C,B,E,E
31,49,D,B,E,E
32,50,D,D,B,E
33,55,B,C,C,E
34,56,A,E,A,B
35,58,C,B,C,D
36,59,D,E,A,D
37,60,E,B,B,A
38,61,E,B,B,C
39,62,E,A,E,A
40,63,E,E,A,B
41,65,C,D,E,D
42,68,D,A,A,A
43,69,E,E,E,C
44,78,D,D,C,D
45,88,E,A,C,D
46,89,D,D,B,C
47,90,D,D,E,C
48,96,D,B,B,A
49,99,D,B,C,D
50,100,E,E,C,D
51,151,C,B,E,D
52,153,A,B,B,C
53,155,A,A,E,A
54,156,B,D,E,C
55,157,E,E,B,B
56,158,D,B,A,A
57,159,B,B,D,A
58,301,C,C,D,C
59,333,E,E,E,D
60,338,E,E,E,E
61,400,D,C,E,E
62,401,D,E,A,B
63,402,E,E,E,D
64,404,A,E,D,B
65,407,B,C,B,D
66,408,B,A,A,A
67,409,A,C,A,E
68,410,E,E,A,D
69,413,D,C,D,E
70,415,E,E,D,D
71,417,C,D,E,B
72,418,D,D,E,D
73,419,B,C,D,A
74,420,A,E,A,A
75,421,A,C,A,A
76,422,C,E,A,B
77,423,E,A,E,D
78,425,E,E,B,A
79,428,B,E,A,D
80,429,A,E,C,A
81,430,A,A,E,D
82,488,D,E,B,D
83,498,A,E,E,C
84,501,D,E,E,D
85,503,E,A,A,B
86,504,B,A,A,A
87,505,A,B,A,E
88,507,C,C,B,E
89,510,B,B,A,A
90,511,D,A,A,C
91,513,D,C,D,C
92,516,D,A,E,A
93,517,E,E,D,A
94,518,C,A,A,A
95,521,B,E,C,B
96,523,C,C,B,D
97,524,B,A,C,B
98,525,C,D,D,B
99,528,D,E,B,A
100,529,C,A,E,C
101,530,A,D,C,B
102,531,C,C,E,A
103,532,C,A,C,B
104,533,B,D,D,B
105,534,B,C,C,C
106,536,A,E,D,C
107,537,B,D,E,D
108,538,E,A,E,E
109,539,E,E,E,B
110,540,E,E,E,D
111,541,D,B,D,C
112,543,D,E,E,B
113,546,A,E,D,E
114,547,E,A,D,D
115,548,C,B,B,B
116,550,D,C,E,D
117,551,B,C,B,A
118,552,A,E,D,C
119,553,B,B,E,C
120,554,B,A,B,A
121,555,C,D,D,B
122,557,B,A,A,A
123,558,D,D,D,A
124,559,E,B,E,D
125,560,A,D,C,A
126,561,C,A,C,D
127,563,D,B,D,C
128,565,C,A,C,A
129,568,E,B,D,A
130,570,B,C,B,B
131,571,B,D,B,E
132,572,D,E,B,D
133,573,A,D,B,D
134,576,A,B,A,A
135,581,E,C,E,C
136,582,A,E,E,B
137,585,A,A,B,B
138,587,D,B,D,E
139,589,C,E,B,E
140,590,B,A,A,B
141,592,E,A,B,D
142,593,A,A,B,A
143,595,A,B,A,A
144,596,D,B,E,C
145,597,A,E,A,D
