,Stkcd,Size,BM,OP,INV
0,1,E,E,D,C
1,2,E,E,E,E
2,4,A,A,B,D
3,5,B,B,B,D
4,9,D,D,B,D
5,10,B,D,A,A
6,11,A,D,E,A
7,12,D,D,D,D
8,14,B,B,A,A
9,16,D,E,E,E
10,17,A,A,C,E
11,18,B,E,E,E
12,20,B,A,A,A
13,21,D,D,D,E
14,23,A,B,B,E
15,25,D,A,C,D
16,26,B,C,C,A
17,27,E,E,B,D
18,28,E,C,D,B
19,30,D,C,D,D
20,32,B,B,A,A
21,36,D,B,E,A
22,37,A,D,A,A
23,39,E,E,C,B
24,40,D,E,B,E
25,42,D,E,D,E
26,43,C,E,B,A
27,45,B,C,A,B
28,46,E,E,D,C
29,48,D,A,A,E
30,49,D,C,E,E
31,50,E,C,B,E
32,55,B,D,E,C
33,58,B,D,E,E
34,59,D,D,E,A
35,60,E,B,D,C
36,61,D,D,B,C
37,62,E,B,D,D
38,63,E,D,D,B
39,65,C,D,E,A
40,66,E,B,D,A
41,68,B,B,B,E
42,69,E,E,E,E
43,70,C,C,E,D
44,78,D,E,E,E
45,88,D,B,B,C
46,89,E,B,C,B
47,90,C,E,D,E
48,96,C,A,C,B
49,99,C,C,B,D
50,100,E,E,C,C
51,150,D,B,C,B
52,151,C,B,C,B
53,153,A,C,C,C
54,155,C,D,C,E
55,157,E,E,B,A
56,158,D,D,B,A
57,159,A,C,A,A
58,166,E,E,C,C
59,301,D,B,C,A
60,333,E,B,E,E
61,338,E,E,E,D
62,400,D,D,C,C
63,401,E,E,B,A
64,402,E,E,E,C
65,403,D,A,E,B
66,404,B,E,B,D
67,407,B,C,D,D
68,409,A,E,A,A
69,410,D,E,A,A
70,411,B,E,D,E
71,413,E,E,C,E
72,415,E,E,D,E
73,416,B,A,B,B
74,417,C,D,C,C
75,418,E,B,E,D
76,419,B,D,C,B
77,420,C,C,B,E
78,421,B,E,C,E
79,422,B,E,A,A
80,423,E,A,E,D
81,425,E,D,B,D
82,428,A,E,A,B
83,429,B,E,E,B
84,430,A,C,B,D
85,488,E,E,D,E
86,498,A,E,E,D
87,501,D,D,E,B
88,502,A,A,A,A
89,503,E,A,A,A
90,504,D,A,A,E
91,505,B,D,D,E
92,506,B,A,A,A
93,507,D,B,B,B
94,510,B,A,C,D
95,513,E,B,E,E
96,514,C,C,B,A
97,517,D,C,E,D
98,518,C,A,A,A
99,519,D,D,A,A
100,520,B,A,D,A
101,521,B,E,A,E
102,523,B,D,A,D
103,524,B,D,C,E
104,525,D,C,D,D
105,528,E,E,B,B
106,529,B,B,D,E
107,530,B,D,B,C
108,531,C,D,B,B
109,532,B,B,C,D
110,533,B,B,B,E
111,534,C,A,B,B
112,536,C,E,A,C
113,537,C,E,E,E
114,538,E,A,E,C
115,539,D,E,B,B
116,541,D,B,E,A
117,543,D,E,A,A
118,544,C,D,B,C
119,546,D,C,D,E
120,548,B,B,C,A
121,550,D,E,A,C
122,551,B,D,C,B
123,552,C,D,D,C
124,553,C,E,C,E
125,554,B,A,A,C
126,555,D,C,C,C
127,557,B,D,A,A
128,558,C,A,B,B
129,559,E,A,E,B
130,560,D,E,A,E
131,561,C,B,B,D
132,563,D,B,B,A
133,565,A,A,B,D
134,567,A,C,E,E
135,568,E,A,E,E
136,570,A,D,A,B
137,571,B,C,A,B
138,572,C,E,A,A
139,573,A,C,A,C
140,576,B,A,A,A
141,581,E,C,E,D
142,582,A,E,C,B
143,584,D,A,C,E
144,585,A,A,E,A
145,586,A,A,A,B
146,587,C,E,D,B
147,589,B,E,A,A
148,590,A,A,B,E
149,591,D,E,C,B
150,592,C,A,A,B
151,593,A,B,B,C
152,595,B,B,A,E
153,596,E,A,E,D
154,597,D,E,B,C
155,598,E,C,D,C
156,599,B,E,B,D
157,600,D,E,B,C
158,601,C,C,D,B
159,605,B,D,C,E
160,606,B,C,A,D
161,607,C,B,D,C
162,608,C,C,C,A
163,609,A,B,D,A
164,610,A,A,A,B
165,612,D,C,A,B
166,613,A,A,A,A
167,615,B,E,E,E
168,616,C,E,A,D
169,617,B,E,D,C
170,619,B,D,A,A
171,620,D,E,D,D
172,622,A,A,A,A
173,623,E,C,C,C
174,625,E,E,D,A
175,626,B,D,D,A
176,627,D,E,C,D
177,628,A,D,B,A
178,630,E,D,B,C
179,631,D,C,E,A
180,632,B,E,D,B
181,633,A,A,A,B
182,635,B,B,B,B
183,636,E,B,C,A
