,Stkcd,Size,BM,OP,INV
892,2559,B,B,C,D
893,2560,A,C,C,D
894,2561,B,B,E,B
895,2562,A,C,C,E
896,2563,E,B,E,C
897,2564,A,E,A,B
898,2565,B,B,D,B
899,2566,A,D,B,C
900,2568,D,A,E,E
901,2570,D,B,B,C
902,2571,A,C,A,A
903,2572,E,A,E,D
904,2575,C,A,B,A
905,2577,D,A,A,A
906,2578,A,B,B,A
907,2579,B,A,B,D
908,2580,A,C,B,C
909,2581,C,B,D,E
910,2583,D,B,D,D
911,2584,A,C,C,E
912,2585,B,D,B,B
913,2586,C,C,C,D
914,2587,A,A,B,A
915,2588,D,B,E,D
916,2589,D,D,D,E
917,2590,D,A,D,C
918,2592,B,C,C,E
919,2593,A,C,B,B
920,2594,E,E,D,D
921,2595,D,B,E,D
922,2596,C,B,C,E
923,2597,D,B,D,C
924,2598,A,A,C,B
925,2599,A,B,B,D
926,2600,B,E,B,E
927,2601,D,C,C,D
928,2602,D,B,D,D
929,2603,E,B,D,C
930,2604,B,B,B,B
931,2605,B,A,D,B
932,2606,A,B,B,B
933,2607,A,D,A,C
934,2609,B,A,E,C
935,2610,D,D,C,E
936,2613,A,C,B,B
937,2614,A,D,D,D
938,2615,A,A,C,C
939,2616,B,C,C,B
940,2618,D,B,C,C
941,2620,A,C,C,C
942,2621,A,D,C,B
943,2622,C,A,C,A
944,2623,B,B,B,B
945,2624,D,A,E,E
946,2625,D,A,C,C
947,2626,D,A,C,E
948,2627,A,C,C,B
949,2628,B,C,B,A
950,2629,B,A,A,A
951,2634,A,B,C,E
952,2635,D,C,E,D
953,2636,A,C,C,D
954,2637,A,D,B,D
955,2638,D,B,B,B
956,2639,B,C,B,E
957,2640,D,A,D,E
958,2641,C,C,D,D
959,2642,C,B,C,E
960,2643,D,A,D,E
961,2644,C,A,B,D
962,2645,A,B,A,E
963,2646,D,A,D,C
964,2648,C,D,A,A
965,2649,B,B,C,C
966,2650,D,B,D,D
967,2651,A,C,D,C
968,2653,C,B,E,C
969,2655,C,A,B,D
970,2656,B,C,A,E
971,2657,D,A,D,C
972,2658,B,A,E,C
973,2659,C,B,B,D
974,2660,A,C,A,E
975,2661,B,C,C,E
976,2662,D,C,D,E
977,2665,D,B,C,E
978,2666,A,D,C,E
979,2667,A,A,A,A
980,2668,C,B,E,E
981,2669,A,A,E,D
982,2670,A,A,B,A
983,2671,A,C,B,B
984,2672,C,D,D,E
985,2673,E,C,E,E
986,2674,B,C,A,C
987,2675,C,B,C,E
988,2676,D,A,A,A
989,2677,A,A,E,C
990,2678,D,A,D,B
991,2679,A,B,B,D
992,2680,A,E,D,E
993,2681,D,B,D,E
994,2682,A,D,B,E
995,2683,B,D,C,C
996,2684,C,A,A,E
997,2686,B,B,D,D
998,2687,A,A,C,B
999,2688,C,B,D,D
1000,2689,C,A,D,A
1001,2690,C,A,E,D
1002,2692,B,D,D,D
1003,2693,B,A,C,E
1004,2694,C,B,B,A
1005,2695,C,B,C,D
1006,2697,B,C,D,D
1007,2698,D,A,D,B
1008,2699,D,A,D,E
1009,2700,B,A,E,C
1010,2701,D,C,E,E
1011,2702,A,B,A,A
1012,2703,A,C,B,A
1013,2705,A,E,E,C
1014,2706,A,C,E,D
1015,2708,A,C,B,B
1016,2709,D,B,C,E
1017,2711,A,C,E,E
1018,2713,A,D,E,D
1019,2714,D,D,E,E
1020,2715,A,B,A,B
1021,2716,C,E,B,C
1022,2717,B,C,E,E
1023,2718,A,C,E,D
1024,2719,A,D,C,E
1025,2721,B,D,D,E
1026,2722,A,D,C,E
1027,2723,A,D,C,D
1028,2724,A,D,B,B
1029,2725,A,D,C,A
1030,2726,A,D,C,C
1031,2727,B,D,E,E
1032,2728,A,D,D,E
1033,2729,A,B,D,C
1034,2730,A,C,C,C
1035,2731,A,E,C,D
1036,2732,A,B,E,C
1037,2733,A,D,D,D
1038,2734,A,B,D,D
1039,2736,E,E,E,E
1040,2737,B,C,D,B
1041,2738,A,B,D,A
1042,2739,E,B,E,E
1043,2740,A,C,D,E
1044,2742,A,D,D,E
1045,2743,A,E,C,C
1046,2745,A,E,D,E
1047,2747,A,B,B,E
1048,2750,A,B,D,E
1049,600000,E,E,E,D
1050,600004,E,C,E,C
1051,600006,E,D,B,B
1052,600007,E,C,E,B
1053,600008,E,E,C,E
1054,600009,E,C,E,C
1055,600010,E,E,A,E
1056,600011,E,E,E,C
1057,600012,E,C,E,B
1058,600015,E,E,E,C
1059,600016,E,E,E,C
1060,600017,D,D,C,C
1061,600018,E,C,D,B
1062,600020,D,E,D,D
1063,600021,E,E,E,C
1064,600022,E,E,A,C
1065,600023,E,E,E,B
1066,600026,E,E,B,B
1067,600027,E,E,E,C
1068,600028,E,E,C,B
1069,600029,E,E,C,A
1070,600030,E,E,E,D
1071,600031,E,D,B,A
1072,600033,D,E,D,A
1073,600036,E,E,E,D
1074,600037,E,C,B,E
1075,600038,E,D,C,C
1076,600039,D,E,D,C
1077,600048,E,E,E,C
1078,600050,E,E,B,C
1079,600051,A,E,D,C
1080,600052,C,D,A,A
1081,600053,E,A,E,E
1082,600054,A,D,E,D
1083,600055,C,A,B,C
1084,600056,E,D,E,C
1085,600057,D,E,C,D
1086,600058,E,E,A,A
1087,600059,D,B,B,B
1088,600060,E,D,D,B
1089,600061,E,E,E,E
1090,600062,D,C,D,D
1091,600063,C,D,B,B
1092,600064,D,E,D,C
1093,600066,E,C,E,D
1094,600067,D,E,C,B
1095,600068,E,E,E,D
1096,600069,C,D,A,A
1097,600071,C,A,C,B
1098,600072,C,A,B,A
1099,600073,D,C,C,D
1100,600074,D,A,E,E
1101,600075,C,D,B,A
1102,600076,B,C,D,E
1103,600077,C,E,B,B
1104,600078,B,D,B,D
1105,600079,E,D,D,E
1106,600080,A,B,B,B
1107,600081,B,C,E,B
1108,600082,A,C,A,B
1109,600083,B,A,E,A
1110,600084,D,C,A,B
1111,600085,E,A,E,C
1112,600086,D,D,D,E
1113,600088,C,A,B,A
1114,600089,E,E,C,D
1115,600090,B,A,D,C
1116,600091,A,B,B,B
1117,600093,B,E,B,E
1118,600094,E,E,D,E
1119,600095,A,B,B,A
1120,600096,D,E,B,A
1121,600097,A,A,A,A
1122,600098,E,D,D,B
1123,600099,A,A,B,B
1124,600100,E,E,D,D
1125,600101,B,C,C,B
1126,600103,C,B,A,A
1127,600104,E,E,E,D
1128,600105,C,B,D,D
1129,600106,C,D,C,D
1130,600107,C,A,B,B
1131,600108,D,C,B,B
1132,600109,E,D,E,E
1133,600110,D,C,D,A
1134,600111,E,B,B,A
1135,600112,C,B,A,A
1136,600113,B,A,E,A
1137,600114,C,C,D,C
1138,600115,E,E,B,D
1139,600116,C,C,D,D
1140,600117,A,E,A,C
1141,600118,E,A,C,C
1142,600119,C,B,C,C
1143,600121,B,E,A,A
1144,600123,C,E,B,B
1145,600125,D,C,C,C
1146,600126,B,C,A,A
1147,600127,A,B,A,C
1148,600128,A,D,C,A
1149,600129,D,D,E,A
1150,600130,C,A,C,D
1151,600131,B,C,E,B
1152,600132,C,B,A,A
1153,600133,B,E,D,D
1154,600135,C,B,B,E
1155,600136,B,A,D,E
1156,600137,A,A,A,A
1157,600138,D,C,D,C
1158,600141,B,E,B,C
1159,600143,E,C,C,C
1160,600148,A,A,B,A
1161,600149,C,A,A,D
1162,600150,E,D,A,B
1163,600151,D,C,B,D
1164,600152,A,B,A,A
1165,600155,C,A,E,A
1166,600156,B,A,A,C
1167,600157,E,E,B,E
1168,600158,D,A,C,C
1169,600159,B,C,B,A
1170,600160,E,A,B,B
1171,600161,E,A,C,A
1172,600162,B,E,D,D
1173,600163,B,C,B,E
1174,600165,D,B,B,E
1175,600166,E,E,A,D
1176,600167,A,D,E,C
1177,600169,D,E,A,B
1178,600170,E,E,D,D
1179,600171,D,A,B,C
1180,600172,D,C,C,E
1181,600175,C,E,B,B
1182,600176,E,D,D,D
1183,600177,E,E,E,E
1184,600178,B,C,B,D
1185,600179,B,A,E,A
1186,600180,D,C,D,E
1187,600183,D,C,D,C
1188,600184,D,B,B,E
1189,600185,D,E,E,C
1190,600186,C,A,A,A
1191,600187,C,B,A,B
1192,600188,E,E,B,C
1193,600189,A,D,A,D
1194,600190,B,E,B,B
1195,600191,C,A,C,A
1196,600192,B,D,B,C
1197,600193,B,A,E,A
1198,600195,D,B,D,B
1199,600196,E,D,E,C
1200,600197,C,B,E,C
1201,600198,E,D,A,B
1202,600199,C,C,B,B
1203,600201,E,A,E,D
1204,600202,B,B,B,A
1205,600203,A,D,C,D
1206,600206,C,B,B,B
1207,600207,C,B,B,A
1208,600208,E,E,C,D
1209,600210,C,D,B,B
1210,600211,B,A,E,A
1211,600213,A,D,D,D
1212,600215,A,D,B,B
1213,600216,D,C,B,B
1214,600217,B,B,E,D
1215,600218,A,D,B,D
1216,600219,E,E,B,C
1217,600220,C,B,C,C
1218,600221,E,E,C,B
1219,600222,B,C,A,D
1220,600223,B,E,D,C
1221,600225,B,E,A,C
1222,600226,D,A,D,A
1223,600227,C,D,B,B
1224,600228,A,A,A,A
1225,600229,B,B,D,A
1226,600230,A,D,A,A
1227,600231,A,E,A,C
1228,600232,B,B,B,A
1229,600234,A,A,A,B
1230,600235,B,C,A,C
1231,600236,C,E,E,E
1232,600237,B,B,A,D
1233,600238,B,A,A,A
1234,600239,B,E,A,E
1235,600240,E,D,E,D
1236,600241,A,C,A,B
1237,600242,A,B,A,A
1238,600243,A,D,A,E
1239,600246,C,E,A,A
1240,600247,B,A,C,D
1241,600248,A,D,C,B
1242,600249,A,D,A,A
1243,600250,A,B,A,A
1244,600251,C,B,C,B
1245,600252,E,A,D,A
1246,600255,C,C,B,E
1247,600256,E,D,B,C
1248,600257,B,A,A,C
1249,600258,B,C,D,E
1250,600259,D,B,A,A
1251,600260,D,D,C,E
1252,600261,D,B,D,C
1253,600262,B,B,A,A
1254,600265,A,A,E,A
1255,600266,E,E,D,D
1256,600267,D,D,B,C
1257,600268,B,E,B,C
1258,600269,D,E,C,B
1259,600270,E,B,E,C
1260,600272,A,A,C,C
1261,600273,B,E,E,D
1262,600275,B,A,A,B
1263,600276,E,A,E,D
1264,600277,D,D,B,B
1265,600278,D,C,C,B
1266,600279,B,D,B,B
1267,600280,C,E,D,D
1268,600281,A,C,A,A
1269,600282,D,E,A,A
1270,600283,B,D,A,D
1271,600284,C,E,D,A
1272,600285,C,B,D,C
1273,600287,B,C,C,A
1274,600288,B,C,A,A
1275,600289,C,B,C,C
1276,600290,B,D,B,E
1277,600291,C,E,B,E
1278,600292,D,C,C,B
1279,600293,B,C,A,B
1280,600295,B,E,B,B
