,Stkcd,Size,BM,OP,INV
0,1,E,E,E,D
1,2,E,E,E,E
2,4,A,A,C,E
3,5,B,B,A,A
4,6,D,D,E,C
5,10,A,A,B,E
6,11,A,E,E,A
7,12,E,D,E,B
8,14,B,C,C,A
9,16,C,E,A,A
10,17,A,A,E,A
11,19,A,B,B,C
12,21,D,D,B,E
13,22,D,C,E,C
14,23,A,C,C,C
15,24,E,E,E,D
16,25,A,A,C,C
17,26,B,D,D,C
18,27,D,E,C,B
19,28,E,B,E,D
20,29,C,C,E,D
21,30,C,E,D,E
22,31,E,E,D,D
23,33,A,A,A,D
24,34,B,A,E,E
25,35,B,A,A,A
26,36,C,C,B,A
27,38,A,D,C,C
28,39,E,E,D,D
29,40,B,D,D,E
30,42,D,C,E,B
31,43,C,E,D,D
32,45,C,C,B,E
33,46,E,D,E,E
34,48,C,A,A,C
35,49,D,A,E,E
36,50,E,C,B,B
37,55,C,C,C,C
38,56,A,E,E,E
39,58,B,B,C,D
40,59,D,E,A,A
41,60,E,C,B,B
42,61,E,C,B,D
43,62,E,A,E,A
44,63,E,E,A,A
45,65,C,C,E,E
46,66,D,E,A,A
47,68,D,A,A,E
48,69,E,E,E,D
49,70,B,B,C,C
50,78,D,D,B,E
51,88,E,A,D,B
52,89,D,D,C,D
53,90,C,E,D,D
54,96,C,B,B,B
55,99,D,B,C,C
56,100,E,E,C,A
57,150,C,D,E,E
58,151,C,C,E,E
59,155,B,D,A,A
60,156,B,E,D,E
61,157,E,E,D,B
62,159,C,C,B,A
63,301,C,C,D,B
64,338,E,E,D,D
65,400,E,B,E,D
66,401,E,E,A,B
67,402,E,E,E,C
68,403,B,A,E,C
69,404,B,E,D,E
70,407,C,C,B,C
71,409,C,B,E,E
72,410,D,E,A,E
73,411,B,D,E,D
74,413,E,C,C,E
75,415,E,E,E,E
76,416,C,A,B,A
77,417,C,D,E,C
78,418,C,D,D,C
79,419,B,C,D,B
80,420,A,E,A,D
81,421,B,D,A,A
82,422,D,E,B,D
83,423,E,A,E,C
84,425,E,E,C,C
85,426,D,C,B,E
86,428,C,D,D,D
87,429,A,E,B,A
88,430,A,A,E,D
89,488,D,E,B,A
90,498,A,E,E,B
91,501,D,D,E,D
92,503,E,A,B,A
93,506,C,B,B,A
94,507,C,C,B,C
95,509,B,A,A,E
96,510,C,B,A,A
97,511,E,B,B,A
98,513,D,B,E,D
99,514,C,D,B,D
100,516,D,B,E,A
101,517,A,E,E,A
102,518,C,A,A,A
103,519,B,D,D,E
104,521,B,E,C,C
105,523,C,B,B,E
106,524,B,A,C,B
107,525,C,D,D,D
108,526,A,A,A,A
109,528,D,E,B,A
110,529,C,A,C,C
111,530,B,C,C,B
112,531,D,D,E,B
113,532,D,A,D,C
114,533,B,C,D,E
115,534,A,E,E,C
116,537,C,D,E,E
117,538,E,A,E,D
118,539,E,E,E,B
119,540,D,E,E,E
120,541,D,B,C,A
121,543,D,E,E,E
122,544,C,B,B,E
123,545,A,C,C,E
124,546,A,A,E,A
125,548,B,C,B,A
126,550,E,C,E,E
127,551,C,B,B,B
128,552,C,D,E,C
129,553,C,B,E,C
130,554,C,B,B,C
131,555,B,D,D,E
132,558,C,E,D,C
133,559,E,C,E,D
134,561,C,A,B,B
135,563,D,B,D,C
136,565,A,B,C,A
137,566,D,B,C,E
138,567,A,A,A,E
139,568,E,B,E,A
140,570,C,C,C,A
141,571,C,C,C,D
142,572,D,D,C,C
143,573,B,B,D,C
144,576,C,B,B,E
145,581,E,B,D,D
146,582,A,E,E,E
147,584,C,B,E,A
148,585,B,A,B,A
149,586,A,A,C,A
150,589,B,E,C,C
151,590,B,A,A,A
152,591,B,D,A,C
153,592,E,A,B,A
154,593,A,B,C,E
155,595,A,C,A,E
156,596,D,B,E,C
157,597,C,E,A,E
158,598,D,C,D,E
159,599,B,D,B,B
160,600,D,E,E,B
161,601,C,D,C,B
162,603,A,B,E,A
163,605,A,A,A,E
164,606,B,B,B,A
165,608,C,D,C,E
166,609,B,B,D,D
167,610,A,A,B,B
168,611,A,A,B,B
169,613,A,A,A,A
170,615,A,B,A,A
171,616,D,E,C,B
172,617,B,C,A,A
173,619,B,D,C,A
174,620,E,E,E,E
175,622,A,B,A,A
176,623,E,C,D,C
177,625,E,D,E,D
178,626,A,E,E,C
179,627,C,B,A,B
180,628,A,E,D,D
181,629,E,E,C,D
182,630,E,E,B,A
183,631,D,E,E,D
184,632,B,E,B,D
185,633,B,A,A,A
186,635,A,D,B,A
187,636,C,C,B,D
188,637,A,B,D,C
189,638,A,B,A,D
190,639,A,C,E,B
191,650,D,A,D,C
192,651,E,D,E,E
193,652,D,E,C,D
194,655,D,B,D,C
195,656,C,E,D,D
196,657,A,E,B,E
197,659,C,D,A,A
198,661,E,A,E,D
199,663,A,B,A,A
200,665,B,D,C,B
201,667,C,E,B,D
202,669,C,C,E,D
203,671,E,E,E,E
204,672,A,E,E,E
205,673,B,A,A,B
206,676,A,B,A,A
207,677,B,C,A,A
208,678,A,D,A,E
209,679,B,E,E,A
210,680,C,E,A,A
211,681,C,A,C,C
212,682,C,C,B,C
213,683,C,E,A,D
214,685,D,C,D,C
215,686,E,D,C,D
216,687,C,C,A,A
217,688,B,B,E,E
218,690,D,C,E,B
219,691,A,A,A,C
220,692,B,D,A,C
221,693,A,E,D,E
222,695,B,B,A,A
223,697,C,A,D,D
224,698,B,E,A,A
225,700,C,C,E,A
226,701,B,E,E,E
227,702,A,B,A,A
228,703,D,E,C,C
