,Stkcd,Size,BM,OP,INV
0,1,E,E,D,D
1,2,E,E,E,C
2,4,B,B,B,C
3,5,A,C,A,A
4,6,C,D,D,B
5,7,A,A,A,A
6,8,C,D,A,C
7,9,E,D,D,C
8,10,A,D,D,A
9,11,C,D,E,D
10,12,E,C,D,B
11,14,A,D,A,E
12,16,D,E,B,D
13,17,A,A,D,E
14,19,B,E,C,C
15,20,A,A,B,B
16,21,E,B,D,D
17,23,A,C,C,A
18,25,C,A,B,B
19,26,C,B,D,C
20,27,E,E,C,D
21,28,D,E,D,D
22,29,C,B,D,B
23,30,D,C,D,D
24,31,C,E,C,C
25,32,C,A,D,D
26,34,D,E,E,C
27,35,D,E,C,C
28,36,C,D,E,A
29,37,B,C,B,A
30,38,A,C,B,D
31,39,E,E,D,A
32,40,B,E,A,A
33,42,C,E,C,B
34,45,C,D,A,C
35,46,D,E,A,B
36,48,D,C,E,E
37,49,D,B,E,B
38,50,E,D,B,D
39,55,B,E,C,C
40,56,B,E,A,A
41,58,B,D,B,A
42,59,D,E,B,A
43,60,E,D,C,D
44,61,D,D,C,B
45,62,D,C,D,C
46,63,E,C,D,C
47,65,C,E,D,E
48,66,E,A,D,E
49,68,B,C,A,B
50,69,E,E,E,D
51,70,C,D,B,E
52,78,D,E,B,A
53,88,D,C,B,D
54,89,D,B,A,C
55,90,D,E,E,E
56,96,C,B,B,C
57,99,C,C,C,A
58,100,E,D,B,E
59,150,B,D,A,A
60,151,A,B,A,A
61,153,B,D,C,B
62,155,E,A,C,E
63,156,D,D,C,E
64,157,E,C,E,E
65,158,D,D,B,C
66,159,B,C,B,A
67,166,E,E,D,E
68,301,E,E,B,E
69,333,E,A,E,D
70,338,E,E,E,D
71,400,D,C,C,D
72,401,D,E,E,B
73,402,D,E,C,C
74,403,D,A,E,E
75,404,B,E,B,C
76,407,B,D,D,B
77,408,D,D,B,A
78,409,A,B,E,A
79,410,C,C,A,A
80,411,B,E,D,C
81,413,D,E,A,A
82,415,D,E,A,A
83,416,A,A,B,B
84,417,B,E,B,B
85,419,A,D,C,C
86,420,C,D,A,B
87,421,B,E,E,A
88,422,D,E,C,A
89,423,E,A,A,A
90,425,E,D,D,D
91,426,D,B,A,B
92,428,B,D,A,A
93,429,D,D,E,D
94,430,A,D,A,C
95,488,D,E,C,A
96,498,B,E,D,E
97,501,D,E,C,B
98,502,A,A,A,A
99,503,C,A,A,B
100,504,C,A,D,E
101,505,C,D,C,C
102,506,B,C,A,A
103,507,C,E,C,E
104,509,A,A,E,E
105,510,B,B,D,D
106,513,E,C,E,D
107,514,B,E,B,D
108,516,E,A,A,E
109,517,C,E,E,E
110,518,B,A,B,A
111,519,D,C,B,D
112,520,B,A,B,B
113,521,B,E,A,D
114,523,B,D,E,A
115,524,C,B,A,A
116,525,A,E,A,A
117,526,A,B,E,B
118,528,D,E,D,D
119,529,B,C,E,E
120,530,A,E,A,B
121,531,C,D,E,D
122,532,C,B,E,A
123,533,A,C,B,B
124,534,C,A,D,B
125,536,C,C,D,A
126,537,D,E,E,C
127,538,E,B,E,D
128,539,D,E,C,D
129,540,D,E,A,D
130,541,C,C,B,E
131,543,C,E,C,B
132,544,C,E,C,E
133,545,B,C,A,A
134,546,C,D,C,C
135,547,E,A,D,D
136,548,A,C,B,B
137,550,D,E,B,D
138,551,C,D,C,C
139,552,C,D,C,E
140,553,E,D,B,B
141,554,A,C,A,D
142,555,D,B,C,D
143,557,C,B,B,B
144,558,B,B,A,A
145,559,D,C,B,E
146,560,D,D,B,B
147,561,C,B,B,D
148,563,D,C,C,D
149,564,C,E,A,A
150,565,B,B,B,B
151,566,C,C,A,A
152,567,D,E,B,B
153,568,E,A,E,E
154,570,B,D,B,D
155,571,A,D,A,A
156,572,D,D,A,A
157,573,A,D,A,C
158,576,C,A,E,E
159,581,D,C,E,D
160,582,D,D,D,C
161,584,C,C,A,D
162,585,A,A,A,A
163,586,A,A,C,A
164,587,A,E,A,A
165,589,C,D,E,C
166,590,A,A,B,C
167,591,D,E,C,C
168,592,C,C,A,D
169,593,A,C,C,C
170,595,B,B,A,B
171,596,E,A,E,C
172,597,C,D,B,B
173,598,D,D,D,E
174,599,B,E,A,B
175,600,C,E,D,C
176,601,C,D,B,D
177,603,D,B,E,C
178,605,A,E,A,B
179,606,A,B,A,A
180,607,B,C,A,A
181,608,B,D,B,B
182,609,A,E,A,A
183,610,A,B,B,C
184,611,A,E,A,E
185,612,D,B,D,B
186,613,A,A,A,D
187,615,D,C,B,A
188,616,B,D,C,A
189,617,E,E,D,B
190,619,A,D,B,D
191,620,B,E,A,A
192,622,A,A,A,E
193,623,D,D,C,C
194,625,E,D,B,E
195,626,D,C,B,A
196,627,D,E,B,D
