,Stkcd,Size,BM,OP,INV
0,1,E,E,E,E
1,2,E,E,E,E
2,4,A,A,C,B
3,6,D,D,E,A
4,7,C,A,B,C
5,8,A,A,A,A
6,9,E,B,D,D
7,11,A,E,E,D
8,12,E,C,E,D
9,14,B,D,D,C
10,16,B,E,A,B
11,17,A,A,A,A
12,18,A,A,A,A
13,19,B,B,A,E
14,20,A,D,B,A
15,21,E,C,B,E
16,22,D,C,E,B
17,23,A,D,B,D
18,24,E,E,E,E
19,25,A,A,A,A
20,26,A,D,D,D
21,27,E,D,B,C
22,28,E,D,E,D
23,29,C,C,C,A
24,30,A,A,A,A
25,31,E,E,D,E
26,32,B,C,C,B
27,33,B,A,A,A
28,34,B,A,B,C
29,36,D,C,B,A
30,37,B,E,A,B
31,39,E,E,E,D
32,40,B,C,E,A
33,42,D,D,D,B
34,43,C,E,E,E
35,45,B,B,B,C
36,46,E,C,B,B
37,48,C,A,B,E
38,49,D,A,E,E
39,50,D,D,A,B
40,55,B,C,B,C
41,56,B,B,E,A
42,59,E,E,D,B
43,60,E,B,E,A
44,61,E,C,B,B
45,62,A,E,B,D
46,63,E,E,A,D
47,65,B,C,D,D
48,66,C,E,B,A
49,69,E,E,E,D
50,70,B,C,B,C
51,78,D,C,C,D
52,89,E,C,D,E
53,90,D,D,C,A
54,96,C,B,B,B
55,99,D,B,D,B
56,100,E,E,B,E
57,150,B,C,A,E
58,151,B,A,A,C
59,153,B,B,A,B
60,155,B,C,A,A
61,157,E,C,E,C
62,158,C,D,A,C
63,159,D,B,E,A
64,301,D,B,B,A
65,338,E,E,E,D
66,400,D,D,C,D
67,401,E,D,D,D
68,402,E,E,D,C
69,404,B,E,B,D
70,407,D,C,A,B
71,408,C,A,D,A
72,409,A,A,A,A
73,410,D,E,B,D
74,411,B,D,E,E
75,413,C,A,B,A
76,415,C,E,B,E
77,416,C,A,C,A
78,417,E,B,E,E
79,418,B,E,D,C
80,419,C,D,E,C
81,420,A,E,A,B
82,421,B,D,A,A
83,422,E,E,E,E
84,423,E,A,E,D
85,425,E,D,E,E
