,Stkcd,Size,BM,OP,INV
0,1,E,E,D,D
1,2,E,E,E,D
2,4,A,B,A,E
3,5,B,B,D,B
4,6,D,D,E,D
5,7,B,A,E,B
6,8,D,C,C,D
7,9,E,D,D,B
8,10,A,D,E,E
9,11,D,D,E,E
10,12,D,D,C,A
11,14,B,C,B,B
12,16,D,E,B,E
13,17,A,A,A,A
14,19,B,E,C,C
15,20,A,A,B,B
16,21,E,B,C,D
17,23,B,C,E,C
18,25,D,A,E,B
19,26,C,C,D,C
20,27,E,E,C,D
21,28,E,D,D,D
22,30,D,D,D,D
23,31,D,E,D,E
24,32,D,A,D,D
25,34,D,E,E,D
26,35,D,E,C,E
27,36,C,D,E,D
28,37,C,B,A,B
29,38,B,C,B,A
30,39,D,E,D,C
31,40,B,E,A,A
32,42,C,E,E,B
33,45,C,C,A,B
34,46,E,E,C,A
35,48,D,B,E,E
36,49,D,B,E,B
37,50,E,D,B,D
38,55,B,E,C,C
39,56,B,E,A,A
40,58,C,D,C,A
41,59,D,E,C,A
42,60,E,C,C,C
43,61,D,D,C,B
44,62,E,B,E,D
45,63,E,C,E,D
46,65,C,E,E,E
47,66,E,B,E,E
48,68,B,C,A,D
49,69,E,E,E,E
50,70,D,B,D,B
51,78,D,E,D,B
52,88,D,C,B,C
53,89,E,B,C,C
54,90,D,E,E,E
55,96,C,A,B,D
56,99,C,C,C,C
57,100,E,D,C,A
58,150,B,D,A,A
59,151,B,B,A,D
60,153,B,D,C,E
61,155,C,C,C,B
62,156,D,C,B,C
63,157,E,D,D,B
64,158,D,C,A,B
65,159,B,C,A,B
66,166,E,E,C,D
67,301,D,E,D,E
68,333,E,B,E,D
69,338,E,E,E,D
70,400,D,C,C,C
71,401,E,E,E,B
72,402,E,E,D,D
73,403,E,A,E,A
74,404,B,E,B,B
75,407,B,D,C,B
76,408,B,E,B,B
77,409,A,D,A,A
78,410,D,B,A,A
79,411,C,E,E,E
80,413,D,E,A,A
81,415,D,E,C,A
82,416,B,A,B,B
83,417,C,E,C,B
84,419,B,D,C,C
85,420,C,D,B,E
86,421,C,E,C,C
87,422,A,E,B,A
88,423,E,A,A,A
89,425,E,D,D,E
90,426,D,C,B,C
91,428,B,D,A,A
92,429,D,D,E,C
93,430,A,D,A,C
94,488,D,E,B,A
95,498,C,E,D,E
96,501,E,E,E,B
97,502,A,A,A,A
98,503,D,A,A,B
99,504,B,A,D,A
100,505,B,D,C,C
101,506,B,C,A,C
102,507,C,D,B,E
103,509,A,A,E,A
104,510,B,B,C,C
105,513,E,B,D,B
106,514,B,D,C,B
107,516,D,C,A,E
108,517,C,E,E,E
109,518,C,A,B,B
110,519,D,C,B,C
111,520,B,A,C,B
112,521,B,E,A,A
113,523,B,D,A,D
114,524,C,D,D,C
115,525,C,E,A,B
116,526,D,C,E,B
117,528,D,E,D,D
118,529,C,B,E,E
119,530,B,D,A,B
120,531,C,D,D,D
121,532,C,B,D,B
122,533,A,C,A,A
123,534,C,A,C,A
124,536,C,D,A,A
125,537,B,E,E,A
126,538,E,B,D,E
127,539,D,E,C,B
128,540,E,E,C,D
129,541,D,C,C,D
130,543,D,E,C,D
131,544,D,D,C,E
132,545,B,C,A,B
133,546,C,C,D,C
134,547,E,B,C,D
135,548,A,C,B,C
136,550,D,E,A,C
137,551,B,D,C,C
138,552,C,D,C,C
139,553,C,E,B,C
140,554,A,B,B,C
141,555,D,B,C,B
142,557,C,C,B,A
143,558,B,B,B,A
144,559,E,B,D,B
145,560,D,E,D,C
146,561,C,B,B,D
147,563,D,B,C,E
148,564,D,E,A,A
149,565,A,B,C,C
150,566,D,C,A,C
151,567,B,E,B,E
152,568,E,A,E,E
153,570,A,D,A,B
154,571,B,D,A,A
155,572,C,E,A,A
156,573,A,D,B,A
157,576,C,A,D,A
158,581,E,D,D,D
159,582,D,E,D,C
160,584,C,C,A,B
161,585,A,A,E,A
162,586,A,A,A,C
163,587,A,E,A,A
164,589,C,E,B,B
165,590,B,A,C,C
166,591,D,E,C,D
167,592,C,B,A,B
168,593,A,B,C,E
169,595,A,B,A,A
170,596,E,A,E,D
171,597,C,D,B,C
172,598,D,D,D,E
173,599,B,E,A,D
174,600,C,E,C,B
175,601,D,D,D,D
176,603,D,A,E,D
177,605,A,E,B,E
178,606,B,B,A,A
179,607,B,B,B,D
180,608,B,D,A,A
181,609,A,E,B,E
182,610,A,B,A,B
183,611,A,C,A,B
184,612,D,C,B,A
185,613,A,A,A,B
186,615,B,E,C,A
187,616,B,D,A,A
188,617,E,E,D,C
189,619,A,D,A,C
190,620,D,E,D,B
191,622,A,A,A,A
192,623,E,C,C,C
193,625,E,D,A,C
194,626,B,D,C,B
195,627,E,E,D,D
196,628,A,E,D,E
197,629,E,C,E,D
198,630,E,D,C,B
199,631,D,C,D,A
200,632,A,E,C,D
201,633,A,B,A,C
202,635,A,C,B,B
203,636,E,A,C,B
204,637,A,B,D,E
205,638,A,A,C,A
206,639,D,D,A,A
207,650,D,A,E,C
208,651,E,B,E,D
209,652,D,E,C,B
210,655,C,B,C,C
211,656,E,E,E,E
212,657,C,C,C,B
213,659,B,B,D,A
214,661,E,A,E,E
215,662,A,B,A,A
216,663,A,D,A,A
217,665,C,D,A,C
218,666,B,E,C,A
219,667,D,E,A,E
220,668,B,C,C,A
221,669,A,E,A,A
222,671,E,E,D,D
223,672,E,B,E,E
224,673,A,A,E,A
225,676,D,C,C,D
226,677,B,A,B,B
227,678,A,B,A,B
228,679,A,E,A,A
229,680,B,D,A,A
230,681,D,A,C,B
231,682,C,C,C,E
232,683,C,E,C,B
233,685,D,D,C,D
234,686,E,E,C,C
235,687,A,A,E,A
236,688,E,A,D,B
237,690,D,C,D,A
238,691,A,A,A,E
239,692,A,E,A,B
240,695,A,B,C,D
241,697,C,B,A,A
242,698,D,E,A,B
243,700,C,B,B,C
244,701,A,E,A,E
245,702,A,A,B,A
246,703,E,E,E,E
247,705,A,C,D,E
248,707,A,D,A,A
249,708,D,E,E,E
250,709,E,E,B,B
251,710,D,A,E,E
252,711,B,E,A,D
253,712,D,D,B,A
254,713,C,B,B,C
255,715,B,B,D,C
256,716,B,D,A,B
257,717,D,D,E,C
258,718,D,D,E,A
259,719,C,D,D,C
260,720,C,B,E,A
261,721,A,B,A,A
262,722,B,C,B,B
263,723,E,B,E,C
264,725,E,D,A,D
265,726,C,D,D,D
266,727,C,E,A,A
267,728,E,E,B,C
268,729,E,C,B,B
269,731,B,C,B,A
270,732,D,E,A,A
271,733,E,B,C,A
272,735,D,A,A,C
273,736,C,E,E,E
274,737,A,C,A,B
275,738,E,A,B,D
276,739,E,A,E,D
277,750,E,D,B,C
278,751,C,C,C,B
279,752,A,B,A,A
280,753,B,D,C,C
281,755,A,E,D,A
282,756,C,D,D,D
283,757,A,D,D,E
284,758,D,D,A,B
285,759,C,D,B,D
286,761,D,E,B,B
287,762,C,B,B,B
288,766,B,C,A,A
289,767,D,E,A,B
290,768,E,C,B,B
291,776,E,E,D,B
292,777,C,A,C,C
293,778,D,E,C,A
294,779,A,D,E,A
295,780,B,D,A,A
296,782,A,D,B,A
297,783,E,E,C,D
298,785,B,E,E,E
299,786,E,A,E,E
300,788,C,A,B,D
301,789,D,C,E,D
302,790,B,A,C,C
